method,scan,crop_id,threshold,gt_valid,pred_total,pred_eval,pred_ignored_border,tp,fp,fn,precision,recall,f1,overseg_ratio_pred_eval_gt
EFRGP01_00_crop02_BA_TOS_LS_AUTO_iou_0p25,EFRGP01_00,crop02,0.25,265,403,262,141,262,0,3,1.0,0.9886792452830188,0.9943074003795066,0.9886792452830188
EFRGP01_00_crop02_BA_TOS_LS_AUTO_iou_0p50,EFRGP01_00,crop02,0.5,265,403,262,141,262,0,3,1.0,0.9886792452830188,0.9943074003795066,0.9886792452830188
EFRGP01_00_crop02_BA_TOS_LS_AUTO_iou_0p75,EFRGP01_00,crop02,0.75,265,403,262,141,231,31,34,0.8816793893129771,0.8716981132075472,0.8766603415559773,0.9886792452830188
EFRGP01_01_crop02_BA_TOS_LS_AUTO_iou_0p25,EFRGP01_01,crop02,0.25,262,415,260,155,260,0,2,1.0,0.9923664122137404,0.9961685823754788,0.9923664122137404
EFRGP01_01_crop02_BA_TOS_LS_AUTO_iou_0p50,EFRGP01_01,crop02,0.5,262,415,260,155,260,0,2,1.0,0.9923664122137404,0.9961685823754788,0.9923664122137404
EFRGP01_01_crop02_BA_TOS_LS_AUTO_iou_0p75,EFRGP01_01,crop02,0.75,262,415,260,155,231,29,31,0.8884615384615384,0.8816793893129771,0.8850574712643677,0.9923664122137404
EFRGP01_00_crop03_BA_TOS_LS_AUTO_iou_0p25,EFRGP01_00,crop03,0.25,216,306,217,89,216,1,0,0.9953917050691244,1.0,0.997690531177829,1.0046296296296295
EFRGP01_00_crop03_BA_TOS_LS_AUTO_iou_0p50,EFRGP01_00,crop03,0.5,216,306,217,89,211,6,5,0.9723502304147466,0.976851851851852,0.97459584295612,1.0046296296296295
EFRGP01_00_crop03_BA_TOS_LS_AUTO_iou_0p75,EFRGP01_00,crop03,0.75,216,306,217,89,147,70,69,0.6774193548387096,0.6805555555555556,0.6789838337182448,1.0046296296296295
EFRGP01_01_crop03_BA_TOS_LS_AUTO_iou_0p25,EFRGP01_01,crop03,0.25,213,308,213,95,213,0,0,1.0,1.0,1.0,1.0
EFRGP01_01_crop03_BA_TOS_LS_AUTO_iou_0p50,EFRGP01_01,crop03,0.5,213,308,213,95,212,1,1,0.9953051643192488,0.9953051643192488,0.9953051643192488,1.0
EFRGP01_01_crop03_BA_TOS_LS_AUTO_iou_0p75,EFRGP01_01,crop03,0.75,213,308,213,95,152,61,61,0.7136150234741784,0.7136150234741784,0.7136150234741784,1.0
EFRGP01_00_crop04_BA_TOS_LS_AUTO_iou_0p25,EFRGP01_00,crop04,0.25,272,414,272,142,272,0,0,1.0,1.0,1.0,1.0
EFRGP01_00_crop04_BA_TOS_LS_AUTO_iou_0p50,EFRGP01_00,crop04,0.5,272,414,272,142,272,0,0,1.0,1.0,1.0,1.0
EFRGP01_00_crop04_BA_TOS_LS_AUTO_iou_0p75,EFRGP01_00,crop04,0.75,272,414,272,142,237,35,35,0.8713235294117647,0.8713235294117647,0.8713235294117647,1.0
EFRGP01_01_crop04_BA_TOS_LS_AUTO_iou_0p25,EFRGP01_01,crop04,0.25,264,411,264,147,264,0,0,1.0,1.0,1.0,1.0
EFRGP01_01_crop04_BA_TOS_LS_AUTO_iou_0p50,EFRGP01_01,crop04,0.5,264,411,264,147,264,0,0,1.0,1.0,1.0,1.0
EFRGP01_01_crop04_BA_TOS_LS_AUTO_iou_0p75,EFRGP01_01,crop04,0.75,264,411,264,147,236,28,28,0.8939393939393939,0.8939393939393939,0.8939393939393939,1.0
EFRGP01_00_crop05_BA_TOS_LS_AUTO_iou_0p25,EFRGP01_00,crop05,0.25,129,195,130,65,129,1,0,0.9923076923076924,1.0,0.996138996138996,1.007751937984496
EFRGP01_00_crop05_BA_TOS_LS_AUTO_iou_0p50,EFRGP01_00,crop05,0.5,129,195,130,65,123,7,6,0.946153846153846,0.9534883720930232,0.9498069498069496,1.007751937984496
EFRGP01_00_crop05_BA_TOS_LS_AUTO_iou_0p75,EFRGP01_00,crop05,0.75,129,195,130,65,60,70,69,0.4615384615384615,0.4651162790697674,0.4633204633204633,1.007751937984496
EFRGP01_01_crop05_BA_TOS_LS_AUTO_iou_0p25,EFRGP01_01,crop05,0.25,128,195,128,67,128,0,0,1.0,1.0,1.0,1.0
EFRGP01_01_crop05_BA_TOS_LS_AUTO_iou_0p50,EFRGP01_01,crop05,0.5,128,195,128,67,122,6,6,0.953125,0.953125,0.953125,1.0
EFRGP01_01_crop05_BA_TOS_LS_AUTO_iou_0p75,EFRGP01_01,crop05,0.75,128,195,128,67,60,68,68,0.46875,0.46875,0.46875,1.0
EFRGP01_00_crop06_BA_TOS_LS_AUTO_iou_0p25,EFRGP01_00,crop06,0.25,271,383,270,113,270,0,1,1.0,0.996309963099631,0.99815157116451,0.996309963099631
EFRGP01_00_crop06_BA_TOS_LS_AUTO_iou_0p50,EFRGP01_00,crop06,0.5,271,383,270,113,269,1,2,0.9962962962962963,0.992619926199262,0.9944547134935304,0.996309963099631
EFRGP01_00_crop06_BA_TOS_LS_AUTO_iou_0p75,EFRGP01_00,crop06,0.75,271,383,270,113,223,47,48,0.825925925925926,0.8228782287822878,0.8243992606284658,0.996309963099631
EFRGP01_01_crop06_BA_TOS_LS_AUTO_iou_0p25,EFRGP01_01,crop06,0.25,265,387,266,121,265,1,0,0.9962406015037594,1.0,0.9981167608286252,1.0037735849056604
EFRGP01_01_crop06_BA_TOS_LS_AUTO_iou_0p50,EFRGP01_01,crop06,0.5,265,387,266,121,263,3,2,0.9887218045112782,0.9924528301886792,0.9905838041431262,1.0037735849056604
EFRGP01_01_crop06_BA_TOS_LS_AUTO_iou_0p75,EFRGP01_01,crop06,0.75,265,387,266,121,218,48,47,0.8195488721804511,0.8226415094339623,0.8210922787193974,1.0037735849056604
EFRGP01_00_crop07_BA_TOS_LS_AUTO_iou_0p25,EFRGP01_00,crop07,0.25,263,404,263,141,263,0,0,1.0,1.0,1.0,1.0
EFRGP01_00_crop07_BA_TOS_LS_AUTO_iou_0p50,EFRGP01_00,crop07,0.5,263,404,263,141,263,0,0,1.0,1.0,1.0,1.0
EFRGP01_00_crop07_BA_TOS_LS_AUTO_iou_0p75,EFRGP01_00,crop07,0.75,263,404,263,141,231,32,32,0.8783269961977186,0.8783269961977186,0.8783269961977186,1.0
EFRGP01_01_crop07_BA_TOS_LS_AUTO_iou_0p25,EFRGP01_01,crop07,0.25,260,404,258,146,258,0,2,1.0,0.9923076923076924,0.996138996138996,0.9923076923076924
EFRGP01_01_crop07_BA_TOS_LS_AUTO_iou_0p50,EFRGP01_01,crop07,0.5,260,404,258,146,258,0,2,1.0,0.9923076923076924,0.996138996138996,0.9923076923076924
EFRGP01_01_crop07_BA_TOS_LS_AUTO_iou_0p75,EFRGP01_01,crop07,0.75,260,404,258,146,226,32,34,0.875968992248062,0.8692307692307693,0.8725868725868725,0.9923076923076924
