scan,crop_id,gt,original_pred,split_pred,auto_params,grain_volume_median,grain_volume_q25,grain_volume_q75,equivalent_radius,MERGE_MIN_VOLUME,MIN_SPLIT_PART_SIZE,PEAK_MIN_DISTANCE,PEAK_THRESHOLD,MAX_PEAKS_GLOBAL_CAP,original_labels,new_labels,candidate_large_labels,labels_split,labels_kept_unsplit,labels_skipped_too_many_peaks,small_split_parts_removed
EFRGP01_00,crop02,results_batos/EFRGP01_00_multicrop/crop02_x600_y800_z300_s200/00_input/crop02_x600_y800_z300_s200_label_crop.tif,results_batos/paper_tables/batos_size_filter_sweep/min500/crop02/crop02_batos_min500_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_00/crop02/EFRGP01_00_crop02_batos_local_split_AUTO_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_00/crop02/EFRGP01_00_crop02_auto_params.json,12613.0,12521.75,13228.75,14.440312621644054,22703,3153,6,3.6100781554110135,6,394,403,8,5,386,3,1
EFRGP01_01,crop02,results_batos/EFRGP01_01_selected_crops/crop02_x600_y800_z300_s200/00_input/EFRGP01_01_crop02_x600_y800_z300_s200_label_crop.tif,results_batos/EFRGP01_01_selected_crops/crop02_x600_y800_z300_s200/batos_pipeline/05_watershed/batos_distance_filtered_min500_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_01/crop02/EFRGP01_01_crop02_batos_local_split_AUTO_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_01/crop02/EFRGP01_01_crop02_auto_params.json,12574.0,12445.0,12799.0,14.425413875820896,22633,3144,6,3.606353468955224,6,405,415,8,4,397,4,1
EFRGP01_00,crop03,results_batos/EFRGP01_00_multicrop/crop03_x900_y600_z300_s200/00_input/crop03_x900_y600_z300_s200_label_crop.tif,results_batos/paper_tables/batos_size_filter_sweep/min500/crop03/crop03_batos_min500_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_00/crop03/EFRGP01_00_crop03_batos_local_split_AUTO_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_00/crop03/EFRGP01_00_crop03_auto_params.json,13834.0,13598.0,16239.5,14.892000907557907,24901,3458,7,3.723000226889477,6,289,306,13,11,277,1,3
EFRGP01_01,crop03,results_batos/EFRGP01_01_selected_crops/crop03_x900_y600_z300_s200/00_input/EFRGP01_01_crop03_x900_y600_z300_s200_label_crop.tif,results_batos/EFRGP01_01_selected_crops/crop03_x900_y600_z300_s200/batos_pipeline/05_watershed/batos_distance_filtered_min500_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_01/crop03/EFRGP01_01_crop03_batos_local_split_AUTO_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_01/crop03/EFRGP01_01_crop03_auto_params.json,13782.0,13576.5,16118.5,14.87331852251078,24808,3446,7,3.718329630627695,6,289,308,13,12,276,1,2
EFRGP01_00,crop04,results_batos/EFRGP01_00_multicrop/crop04_x500_y500_z700_s200/00_input/crop04_x500_y500_z700_s200_label_crop.tif,results_batos/paper_tables/batos_size_filter_sweep/min500/crop04/crop04_batos_min500_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_00/crop04/EFRGP01_00_crop04_batos_local_split_AUTO_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_00/crop04/EFRGP01_00_crop04_auto_params.json,12627.5,12508.0,13121.25,14.445844066648933,22730,3157,7,3.611461016662233,6,398,414,10,9,388,1,4
EFRGP01_01,crop04,results_batos/EFRGP01_01_selected_crops/crop04_x500_y500_z700_s200/00_input/EFRGP01_01_crop04_x500_y500_z700_s200_label_crop.tif,results_batos/EFRGP01_01_selected_crops/crop04_x500_y500_z700_s200/batos_pipeline/05_watershed/batos_distance_filtered_min500_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_01/crop04/EFRGP01_01_crop04_batos_local_split_AUTO_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_01/crop04/EFRGP01_01_crop04_auto_params.json,12644.0,12528.0,13044.0,14.452133321173132,22759,3161,7,3.613033330293283,6,397,411,11,9,386,2,3
EFRGP01_00,crop05,results_batos/EFRGP01_00_multicrop/crop05_x800_y900_z700_s200/00_input/crop05_x800_y900_z700_s200_label_crop.tif,results_batos/paper_tables/batos_size_filter_sweep/min500/crop05/crop05_batos_min500_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_00/crop05/EFRGP01_00_crop05_batos_local_split_AUTO_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_00/crop05/EFRGP01_00_crop05_auto_params.json,15782.0,14295.0,17062.0,15.560533273828733,28408,3946,7,3.8901333184571834,6,183,195,11,9,173,1,5
EFRGP01_01,crop05,results_batos/EFRGP01_01_selected_crops/crop05_x800_y900_z700_s200/00_input/EFRGP01_01_crop05_x800_y900_z700_s200_label_crop.tif,results_batos/EFRGP01_01_selected_crops/crop05_x800_y900_z700_s200/batos_pipeline/05_watershed/batos_distance_filtered_min500_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_01/crop05/EFRGP01_01_crop05_batos_local_split_AUTO_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_01/crop05/EFRGP01_01_crop05_auto_params.json,15727.0,14297.0,17160.0,15.542436170738526,28309,3932,7,3.8856090426846315,6,187,195,4,4,183,0,1
EFRGP01_00,crop06,results_batos/EFRGP01_00_extra_crops/crop06_x350_y650_z500_s200/00_input/crop06_x350_y650_z500_s200_label_crop.tif,results_batos/paper_tables/batos_size_filter_sweep/min500/crop06/crop06_batos_min500_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_00/crop06/EFRGP01_00_crop06_batos_local_split_AUTO_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_00/crop06/EFRGP01_00_crop06_auto_params.json,13020.0,12871.0,14599.0,14.593992709963613,23436,3255,7,3.6484981774909033,6,367,383,9,8,358,1,1
EFRGP01_01,crop06,results_batos/EFRGP01_01_selected_crops/crop06_x350_y650_z500_s200/00_input/EFRGP01_01_crop06_x350_y650_z500_s200_label_crop.tif,results_batos/EFRGP01_01_selected_crops/crop06_x350_y650_z500_s200/batos_pipeline/05_watershed/batos_distance_filtered_min500_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_01/crop06/EFRGP01_01_crop06_batos_local_split_AUTO_labels.tif,results_batos/paper_tables/batos_local_split_auto/EFRGP01_01/crop06/EFRGP01_01_crop06_auto_params.json,13002.0,12852.0,14823.0,14.58726426608233,23404,3250,7,3.6468160665205827,6,373,387,9,8,365,0,3
