method,threshold,gt_valid,pred_total,pred_eval,pred_ignored_border,tp,fp,fn,precision,recall,f1,overseg_ratio_pred_eval_gt,scan,crop_id
EFRGP01_00_crop02_BA_TOS_local_split,0.5,265,413,265,148,265,0,0,1.0,1.0,1.0,1.0,EFRGP01_00,crop02
EFRGP01_01_crop02_BA_TOS_local_split,0.5,262,422,261,161,261,0,1,1.0,0.9961832061068704,0.9980879541108988,0.9961832061068704,EFRGP01_01,crop02
EFRGP01_00_crop03_BA_TOS_local_split,0.5,216,305,215,90,209,6,7,0.972093023255814,0.9675925925925926,0.9698375870069604,0.9953703703703703,EFRGP01_00,crop03
EFRGP01_01_crop03_BA_TOS_local_split,0.5,213,314,212,102,209,3,4,0.9858490566037736,0.9812206572769951,0.983529411764706,0.9953051643192488,EFRGP01_01,crop03
EFRGP01_00_crop04_BA_TOS_local_split,0.5,272,413,271,142,271,0,1,1.0,0.9963235294117648,0.998158379373849,0.9963235294117648,EFRGP01_00,crop04
EFRGP01_01_crop04_BA_TOS_local_split,0.5,264,414,262,152,262,0,2,1.0,0.9924242424242424,0.9961977186311788,0.9924242424242424,EFRGP01_01,crop04
EFRGP01_00_crop05_BA_TOS_local_split,0.5,129,198,129,69,120,9,9,0.9302325581395348,0.9302325581395348,0.9302325581395348,1.0,EFRGP01_00,crop05
EFRGP01_01_crop05_BA_TOS_local_split,0.5,128,200,127,73,122,5,6,0.9606299212598424,0.953125,0.9568627450980391,0.9921875,EFRGP01_01,crop05
EFRGP01_00_crop06_BA_TOS_local_split,0.5,271,380,269,111,267,2,4,0.9925650557620818,0.985239852398524,0.9888888888888888,0.992619926199262,EFRGP01_00,crop06
EFRGP01_01_crop06_BA_TOS_local_split,0.5,265,383,266,117,261,5,4,0.981203007518797,0.9849056603773584,0.983050847457627,1.0037735849056604,EFRGP01_01,crop06
EFRGP01_00_crop07_BA_TOS_local_split,0.5,263,412,262,150,262,0,1,1.0,0.9961977186311788,0.998095238095238,0.9961977186311788,EFRGP01_00,crop07
EFRGP01_01_crop07_BA_TOS_local_split,0.5,260,411,258,153,258,0,2,1.0,0.9923076923076924,0.996138996138996,0.9923076923076924,EFRGP01_01,crop07
