method,scan,crop_id,threshold,gt,pred,gt_valid,pred_total,pred_eval,pred_ignored_border,tp,fp,fn,precision,recall,f1,overseg_ratio_pred_eval_gt
EFRGP01_00_crop02_BA_TOS_LS_iou_0p25,EFRGP01_00,crop02,0.25,results_batos/EFRGP01_00_multicrop/crop02_x600_y800_z300_s200/00_input/crop02_x600_y800_z300_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_00/crop02/EFRGP01_00_crop02_batos_local_split_labels.tif,265,413,265,148,265,0,0,1.0,1.0,1.0,1.0
EFRGP01_00_crop02_BA_TOS_LS_iou_0p50,EFRGP01_00,crop02,0.5,results_batos/EFRGP01_00_multicrop/crop02_x600_y800_z300_s200/00_input/crop02_x600_y800_z300_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_00/crop02/EFRGP01_00_crop02_batos_local_split_labels.tif,265,413,265,148,265,0,0,1.0,1.0,1.0,1.0
EFRGP01_00_crop02_BA_TOS_LS_iou_0p75,EFRGP01_00,crop02,0.75,results_batos/EFRGP01_00_multicrop/crop02_x600_y800_z300_s200/00_input/crop02_x600_y800_z300_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_00/crop02/EFRGP01_00_crop02_batos_local_split_labels.tif,265,413,265,148,232,33,33,0.8754716981132076,0.8754716981132076,0.8754716981132076,1.0
EFRGP01_01_crop02_BA_TOS_LS_iou_0p25,EFRGP01_01,crop02,0.25,results_batos/EFRGP01_01_selected_crops/crop02_x600_y800_z300_s200/00_input/EFRGP01_01_crop02_x600_y800_z300_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_01/crop02/EFRGP01_01_crop02_batos_local_split_labels.tif,262,422,261,161,261,0,1,1.0,0.9961832061068704,0.9980879541108988,0.9961832061068704
EFRGP01_01_crop02_BA_TOS_LS_iou_0p50,EFRGP01_01,crop02,0.5,results_batos/EFRGP01_01_selected_crops/crop02_x600_y800_z300_s200/00_input/EFRGP01_01_crop02_x600_y800_z300_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_01/crop02/EFRGP01_01_crop02_batos_local_split_labels.tif,262,422,261,161,261,0,1,1.0,0.9961832061068704,0.9980879541108988,0.9961832061068704
EFRGP01_01_crop02_BA_TOS_LS_iou_0p75,EFRGP01_01,crop02,0.75,results_batos/EFRGP01_01_selected_crops/crop02_x600_y800_z300_s200/00_input/EFRGP01_01_crop02_x600_y800_z300_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_01/crop02/EFRGP01_01_crop02_batos_local_split_labels.tif,262,422,261,161,235,26,27,0.9003831417624522,0.8969465648854962,0.8986615678776291,0.9961832061068704
EFRGP01_00_crop03_BA_TOS_LS_iou_0p25,EFRGP01_00,crop03,0.25,results_batos/EFRGP01_00_multicrop/crop03_x900_y600_z300_s200/00_input/crop03_x900_y600_z300_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_00/crop03/EFRGP01_00_crop03_batos_local_split_labels.tif,216,305,215,90,215,0,1,1.0,0.9953703703703703,0.9976798143851509,0.9953703703703703
EFRGP01_00_crop03_BA_TOS_LS_iou_0p50,EFRGP01_00,crop03,0.5,results_batos/EFRGP01_00_multicrop/crop03_x900_y600_z300_s200/00_input/crop03_x900_y600_z300_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_00/crop03/EFRGP01_00_crop03_batos_local_split_labels.tif,216,305,215,90,209,6,7,0.972093023255814,0.9675925925925926,0.9698375870069604,0.9953703703703703
EFRGP01_00_crop03_BA_TOS_LS_iou_0p75,EFRGP01_00,crop03,0.75,results_batos/EFRGP01_00_multicrop/crop03_x900_y600_z300_s200/00_input/crop03_x900_y600_z300_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_00/crop03/EFRGP01_00_crop03_batos_local_split_labels.tif,216,305,215,90,150,65,66,0.6976744186046512,0.6944444444444444,0.6960556844547563,0.9953703703703703
EFRGP01_01_crop03_BA_TOS_LS_iou_0p25,EFRGP01_01,crop03,0.25,results_batos/EFRGP01_01_selected_crops/crop03_x900_y600_z300_s200/00_input/EFRGP01_01_crop03_x900_y600_z300_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_01/crop03/EFRGP01_01_crop03_batos_local_split_labels.tif,213,314,212,102,212,0,1,1.0,0.9953051643192488,0.9976470588235292,0.9953051643192488
