scan,crop_id,n_labels,grain_volume_median,grain_volume_q25,grain_volume_q75,equivalent_radius,MERGE_MIN_VOLUME,MIN_SPLIT_PART_SIZE,PEAK_MIN_DISTANCE,PEAK_THRESHOLD,MAX_PEAKS_GLOBAL_CAP
EFRGP01_00,crop02,394,12613.0,12521.75,13228.75,14.440312621644054,22703,3153,6,3.6100781554110135,6
EFRGP01_01,crop02,405,12574.0,12445.0,12799.0,14.425413875820896,22633,3144,6,3.606353468955224,6
EFRGP01_00,crop03,289,13834.0,13598.0,16239.5,14.892000907557907,24901,3458,7,3.723000226889477,6
EFRGP01_01,crop03,289,13782.0,13576.5,16118.5,14.87331852251078,24808,3446,7,3.718329630627695,6
EFRGP01_00,crop04,398,12627.5,12508.0,13121.25,14.445844066648933,22730,3157,7,3.611461016662233,6
EFRGP01_01,crop04,397,12644.0,12528.0,13044.0,14.452133321173132,22759,3161,7,3.613033330293283,6
EFRGP01_00,crop05,183,15782.0,14295.0,17062.0,15.560533273828733,28408,3946,7,3.8901333184571834,6
EFRGP01_01,crop05,187,15727.0,14297.0,17160.0,15.542436170738526,28309,3932,7,3.8856090426846315,6
EFRGP01_00,crop06,367,13020.0,12871.0,14599.0,14.593992709963613,23436,3255,7,3.6484981774909033,6
EFRGP01_01,crop06,373,13002.0,12852.0,14823.0,14.58726426608233,23404,3250,7,3.6468160665205827,6
EFRGP01_00,crop07,388,12671.0,12554.25,13500.25,14.462413036951713,22808,3168,7,3.615603259237928,6
EFRGP01_01,crop07,390,12650.0,12538.0,13076.75,14.454418966209056,22770,3162,7,3.613604741552264,6
