min_size,crop_id,gt_valid,pred_total,pred_eval,pred_ignored,precision050,recall050,f1050,fp050,fn050,overseg_ratio
250,crop02,265,394,261,133,0.9961685823754789,0.9811320754716981,0.9885931558935361,1,5,0.9849056603773585
250,crop03,216,289,215,74,0.9674418604651163,0.9629629629629629,0.965197215777262,7,8,0.9953703703703703
250,crop04,272,398,269,129,1.0,0.9889705882352942,0.9944547134935305,0,3,0.9889705882352942
250,crop05,129,190,134,56,0.8656716417910447,0.8992248062015504,0.8821292775665398,18,13,1.0387596899224807
250,crop06,271,368,267,101,0.9887640449438202,0.974169741697417,0.9814126394052045,3,7,0.985239852398524
250,crop07,263,388,259,129,1.0,0.9847908745247148,0.9923371647509579,0,4,0.9847908745247148
500,crop02,265,394,261,133,0.9961685823754789,0.9811320754716981,0.9885931558935361,1,5,0.9849056603773585
500,crop03,216,289,215,74,0.9674418604651163,0.9629629629629629,0.965197215777262,7,8,0.9953703703703703
500,crop04,272,398,269,129,1.0,0.9889705882352942,0.9944547134935305,0,3,0.9889705882352942
500,crop05,129,183,127,56,0.9133858267716536,0.8992248062015504,0.9062500000000001,11,13,0.9844961240310077
500,crop06,271,367,267,100,0.9887640449438202,0.974169741697417,0.9814126394052045,3,7,0.985239852398524
500,crop07,263,388,259,129,1.0,0.9847908745247148,0.9923371647509579,0,4,0.9847908745247148
750,crop02,265,394,261,133,0.9961685823754789,0.9811320754716981,0.9885931558935361,1,5,0.9849056603773585
750,crop03,216,289,215,74,0.9674418604651163,0.9629629629629629,0.965197215777262,7,8,0.9953703703703703
750,crop04,272,398,269,129,1.0,0.9889705882352942,0.9944547134935305,0,3,0.9889705882352942
750,crop05,129,182,126,56,0.9206349206349206,0.8992248062015504,0.9098039215686274,10,13,0.9767441860465116
750,crop06,271,367,267,100,0.9887640449438202,0.974169741697417,0.9814126394052045,3,7,0.985239852398524
750,crop07,263,388,259,129,1.0,0.9847908745247148,0.9923371647509579,0,4,0.9847908745247148
1000,crop02,265,394,261,133,0.9961685823754789,0.9811320754716981,0.9885931558935361,1,5,0.9849056603773585
1000,crop03,216,289,215,74,0.9674418604651163,0.9629629629629629,0.965197215777262,7,8,0.9953703703703703
1000,crop04,272,398,269,129,1.0,0.9889705882352942,0.9944547134935305,0,3,0.9889705882352942
1000,crop05,129,182,126,56,0.9206349206349206,0.8992248062015504,0.9098039215686274,10,13,0.9767441860465116
1000,crop06,271,367,267,100,0.9887640449438202,0.974169741697417,0.9814126394052045,3,7,0.985239852398524
1000,crop07,263,388,259,129,1.0,0.9847908745247148,0.9923371647509579,0,4,0.9847908745247148
