scan,crop_id,gt,original_pred,split_pred,original_labels,new_labels,labels_split,small_components_removed
EFRGP01_00,crop02,results_batos/EFRGP01_00_multicrop/crop02_x600_y800_z300_s200/00_input/crop02_x600_y800_z300_s200_label_crop.tif,results_batos/paper_tables/batos_size_filter_sweep/min500/crop02/crop02_batos_min500_labels.tif,results_batos/paper_tables/batos_split_disconnected/EFRGP01_00/crop02/EFRGP01_00_crop02_batos_split_disconnected_labels.tif,394,394,0,0
EFRGP01_01,crop02,results_batos/EFRGP01_01_selected_crops/crop02_x600_y800_z300_s200/00_input/EFRGP01_01_crop02_x600_y800_z300_s200_label_crop.tif,results_batos/EFRGP01_01_selected_crops/crop02_x600_y800_z300_s200/batos_pipeline/05_watershed/batos_distance_filtered_min500_labels.tif,results_batos/paper_tables/batos_split_disconnected/EFRGP01_01/crop02/EFRGP01_01_crop02_batos_split_disconnected_labels.tif,405,405,0,0
EFRGP01_00,crop03,results_batos/EFRGP01_00_multicrop/crop03_x900_y600_z300_s200/00_input/crop03_x900_y600_z300_s200_label_crop.tif,results_batos/paper_tables/batos_size_filter_sweep/min500/crop03/crop03_batos_min500_labels.tif,results_batos/paper_tables/batos_split_disconnected/EFRGP01_00/crop03/EFRGP01_00_crop03_batos_split_disconnected_labels.tif,289,289,0,0
EFRGP01_01,crop03,results_batos/EFRGP01_01_selected_crops/crop03_x900_y600_z300_s200/00_input/EFRGP01_01_crop03_x900_y600_z300_s200_label_crop.tif,results_batos/EFRGP01_01_selected_crops/crop03_x900_y600_z300_s200/batos_pipeline/05_watershed/batos_distance_filtered_min500_labels.tif,results_batos/paper_tables/batos_split_disconnected/EFRGP01_01/crop03/EFRGP01_01_crop03_batos_split_disconnected_labels.tif,289,289,0,0
EFRGP01_00,crop04,results_batos/EFRGP01_00_multicrop/crop04_x500_y500_z700_s200/00_input/crop04_x500_y500_z700_s200_label_crop.tif,results_batos/paper_tables/batos_size_filter_sweep/min500/crop04/crop04_batos_min500_labels.tif,results_batos/paper_tables/batos_split_disconnected/EFRGP01_00/crop04/EFRGP01_00_crop04_batos_split_disconnected_labels.tif,398,398,0,0
EFRGP01_01,crop04,results_batos/EFRGP01_01_selected_crops/crop04_x500_y500_z700_s200/00_input/EFRGP01_01_crop04_x500_y500_z700_s200_label_crop.tif,results_batos/EFRGP01_01_selected_crops/crop04_x500_y500_z700_s200/batos_pipeline/05_watershed/batos_distance_filtered_min500_labels.tif,results_batos/paper_tables/batos_split_disconnected/EFRGP01_01/crop04/EFRGP01_01_crop04_batos_split_disconnected_labels.tif,397,397,0,0
EFRGP01_00,crop05,results_batos/EFRGP01_00_multicrop/crop05_x800_y900_z700_s200/00_input/crop05_x800_y900_z700_s200_label_crop.tif,results_batos/paper_tables/batos_size_filter_sweep/min500/crop05/crop05_batos_min500_labels.tif,results_batos/paper_tables/batos_split_disconnected/EFRGP01_00/crop05/EFRGP01_00_crop05_batos_split_disconnected_labels.tif,183,183,0,0
EFRGP01_01,crop05,results_batos/EFRGP01_01_selected_crops/crop05_x800_y900_z700_s200/00_input/EFRGP01_01_crop05_x800_y900_z700_s200_label_crop.tif,results_batos/EFRGP01_01_selected_crops/crop05_x800_y900_z700_s200/batos_pipeline/05_watershed/batos_distance_filtered_min500_labels.tif,results_batos/paper_tables/batos_split_disconnected/EFRGP01_01/crop05/EFRGP01_01_crop05_batos_split_disconnected_labels.tif,187,187,0,0
EFRGP01_00,crop06,results_batos/EFRGP01_00_extra_crops/crop06_x350_y650_z500_s200/00_input/crop06_x350_y650_z500_s200_label_crop.tif,results_batos/paper_tables/batos_size_filter_sweep/min500/crop06/crop06_batos_min500_labels.tif,results_batos/paper_tables/batos_split_disconnected/EFRGP01_00/crop06/EFRGP01_00_crop06_batos_split_disconnected_labels.tif,367,367,0,0
EFRGP01_01,crop06,results_batos/EFRGP01_01_selected_crops/crop06_x350_y650_z500_s200/00_input/EFRGP01_01_crop06_x350_y650_z500_s200_label_crop.tif,results_batos/EFRGP01_01_selected_crops/crop06_x350_y650_z500_s200/batos_pipeline/05_watershed/batos_distance_filtered_min500_labels.tif,results_batos/paper_tables/batos_split_disconnected/EFRGP01_01/crop06/EFRGP01_01_crop06_batos_split_disconnected_labels.tif,373,373,0,0
EFRGP01_00,crop07,results_batos/EFRGP01_00_extra_crops/crop07_x700_y400_z500_s200/00_input/crop07_x700_y400_z500_s200_label_crop.tif,results_batos/paper_tables/batos_size_filter_sweep/min500/crop07/crop07_batos_min500_labels.tif,results_batos/paper_tables/batos_split_disconnected/EFRGP01_00/crop07/EFRGP01_00_crop07_batos_split_disconnected_labels.tif,388,388,0,0
EFRGP01_01,crop07,results_batos/EFRGP01_01_selected_crops/crop07_x700_y400_z500_s200/00_input/EFRGP01_01_crop07_x700_y400_z500_s200_label_crop.tif,results_batos/EFRGP01_01_selected_crops/crop07_x700_y400_z500_s200/batos_pipeline/05_watershed/batos_distance_filtered_min500_labels.tif,results_batos/paper_tables/batos_split_disconnected/EFRGP01_01/crop07/EFRGP01_01_crop07_batos_split_disconnected_labels.tif,390,390,0,0
