method,threshold,gt_valid,pred_total,pred_eval,pred_ignored_border,tp,fp,fn,precision,recall,f1,overseg_ratio_pred_eval_gt,scan,crop_id
EFRGP01_00_crop02_BA_TOS_split_disconnected,0.5,265,394,261,133,260,1,5,0.9961685823754788,0.981132075471698,0.988593155893536,0.9849056603773584,EFRGP01_00,crop02
EFRGP01_01_crop02_BA_TOS_split_disconnected,0.5,262,405,258,147,258,0,4,1.0,0.9847328244274808,0.9923076923076924,0.9847328244274808,EFRGP01_01,crop02
EFRGP01_00_crop03_BA_TOS_split_disconnected,0.5,216,289,215,74,208,7,8,0.9674418604651164,0.9629629629629628,0.965197215777262,0.9953703703703703,EFRGP01_00,crop03
EFRGP01_01_crop03_BA_TOS_split_disconnected,0.5,213,289,211,78,205,6,8,0.971563981042654,0.9624413145539906,0.9669811320754718,0.9906103286384976,EFRGP01_01,crop03
EFRGP01_00_crop04_BA_TOS_split_disconnected,0.5,272,398,269,129,269,0,3,1.0,0.9889705882352942,0.9944547134935304,0.9889705882352942,EFRGP01_00,crop04
EFRGP01_01_crop04_BA_TOS_split_disconnected,0.5,264,397,261,136,260,1,4,0.9961685823754788,0.9848484848484848,0.9904761904761904,0.9886363636363636,EFRGP01_01,crop04
EFRGP01_00_crop05_BA_TOS_split_disconnected,0.5,129,183,127,56,116,11,13,0.9133858267716536,0.8992248062015504,0.90625,0.9844961240310076,EFRGP01_00,crop05
EFRGP01_01_crop05_BA_TOS_split_disconnected,0.5,128,187,127,60,119,8,9,0.937007874015748,0.9296875,0.9333333333333332,0.9921875,EFRGP01_01,crop05
EFRGP01_00_crop06_BA_TOS_split_disconnected,0.5,271,367,267,100,264,3,7,0.9887640449438202,0.974169741697417,0.9814126394052044,0.985239852398524,EFRGP01_00,crop06
EFRGP01_01_crop06_BA_TOS_split_disconnected,0.5,265,373,261,112,259,2,6,0.992337164750958,0.9773584905660376,0.9847908745247148,0.9849056603773584,EFRGP01_01,crop06
EFRGP01_00_crop07_BA_TOS_split_disconnected,0.5,263,388,259,129,259,0,4,1.0,0.9847908745247148,0.992337164750958,0.9847908745247148,EFRGP01_00,crop07
EFRGP01_01_crop07_BA_TOS_split_disconnected,0.5,260,390,254,136,254,0,6,1.0,0.9769230769230768,0.9883268482490272,0.9769230769230768,EFRGP01_01,crop07
