method,crop_id,gt_valid,pred_labels,fg_dice,rec050_bestmatch,precision050,recall050,f1050,fp050,fn050,overseg_ratio
BA-TOS,crop02,265,404,0.9728676517826089,0.9811320754716981,0.9961685823754789,0.9811320754716981,0.9885931558935361,1,5,0.9849056603773585
BA-TOS,crop03,216,356,0.9205381473514989,0.9629629629629629,0.7703703703703704,0.9629629629629629,0.8559670781893004,62,8,1.25
BA-TOS,crop04,272,407,0.9731102595718367,0.9889705882352942,1.0,0.9889705882352942,0.9944547134935305,0,3,0.9889705882352942
BA-TOS,crop05,129,420,0.8826671497240931,0.8992248062015504,0.3240223463687151,0.8992248062015504,0.47638603696098564,242,13,2.7751937984496124
BA-TOS,crop06,271,378,0.950542340198693,0.974169741697417,0.9850746268656716,0.974169741697417,0.9795918367346939,4,7,0.988929889298893
BA-TOS,crop07,263,396,0.9702018370817068,0.9847908745247148,1.0,0.9847908745247148,0.9923371647509579,0,4,0.9847908745247148
Otsu+WS,crop02,265,623,0.971960610249018,0.9622641509433962,0.7727272727272727,0.9622641509433962,0.8571428571428572,75,10,1.2452830188679245
Otsu+WS,crop03,216,379,0.9206199143945352,0.9768518518518519,0.9377777777777778,0.9768518518518519,0.9569160997732427,14,5,1.0416666666666667
Otsu+WS,crop04,272,613,0.9721827630297143,0.9485294117647058,0.7724550898203593,0.9485294117647058,0.8514851485148515,76,14,1.2279411764705883
Otsu+WS,crop05,129,229,0.886221589609834,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9767441860465116,3,3,1.0
Otsu+WS,crop06,271,526,0.95011082373399,0.940959409594096,0.770392749244713,0.940959409594096,0.8471760797342193,76,16,1.2214022140221403
Otsu+WS,crop07,263,599,0.9693923507156968,0.9505703422053232,0.78125,0.9505703422053232,0.8576329331046312,70,13,1.2167300380228137
