method,metric,mean,median,min,max,std
BA-TOS,fg_dice,0.944988,0.960372,0.882667,0.973110,0.036651
BA-TOS,precision050,0.845939,0.990622,0.324022,1.000000,0.271111
BA-TOS,recall050,0.965209,0.977651,0.899225,0.988971,0.033588
BA-TOS,f1050,0.881222,0.984092,0.476386,0.994455,0.205379
BA-TOS,overseg_ratio,1.328798,0.988950,0.984791,2.775194,0.716361
Otsu+WS,fg_dice,0.945081,0.959752,0.886222,0.972183,0.035032
Otsu+WS,precision050,0.835225,0.776989,0.770393,0.976744,0.095402
Otsu+WS,recall050,0.959320,0.956417,0.940959,0.976852,0.015164
Otsu+WS,f1050,0.891183,0.857388,0.847176,0.976744,0.059057
Otsu+WS,overseg_ratio,1.158837,1.219066,1.000000,1.245283,0.108141
