threshold,gt_id,pred_id,iou
0.25,13381,145,0.7183874023206251
0.25,13382,146,0.8175255664728294
0.25,13385,93,0.6178473422095742
0.25,13386,30,0.6821424527233609
0.25,13387,82,0.7407680945347119
0.25,13393,2,0.701994501959408
0.25,13398,44,0.7205717983410789
0.25,13399,121,0.7502937356997094
0.25,13400,43,0.744870705353891
0.25,13409,122,0.6738536965847679
0.25,13419,1,0.5935860058309038
0.25,13434,9,0.6524205949414073
0.25,13448,28,0.781498588657942
0.25,13465,4,0.7267483349191246
0.25,13466,11,0.8366936880759371
0.25,13469,45,0.7107848871213007
0.25,13471,75,0.8399384916474453
0.25,13478,31,0.8428502046763339
0.25,13490,103,0.5903396300283841
0.25,13491,10,0.6782837415748808
0.25,13499,117,0.844157646405773
0.25,13500,62,0.7011749942961442
0.25,13504,95,0.8382605116949037
0.25,13509,76,0.8432015297411732
0.25,13510,26,0.8368963868588212
0.25,13523,104,0.8454877553781627
0.25,13527,83,0.8404048807542984
0.25,13541,69,0.834925434678029
0.25,13545,46,0.7156794827387137
0.25,13551,19,0.7137476459510358
0.25,13569,8,0.6913726820443238
0.25,13576,105,0.708454302636163
0.25,13597,106,0.8368784434060953
0.25,13598,3,0.6860280858969455
0.25,13604,38,0.7146285781185975
0.25,13605,54,0.8388148764918124
0.25,13614,96,0.8450877312760292
0.25,13620,147,0.8490860138869208
0.25,13621,5,0.8350180005538632
0.25,13626,150,0.8526985458612976
0.25,13628,80,0.8435618902649968
0.25,13630,102,0.8403332650413167
0.25,13646,107,0.8399138050882803
0.25,13647,85,0.7256028241488661
0.25,13663,12,0.7041406430719408
0.25,13669,47,0.7255064565809738
0.25,13679,131,0.8485732139137679
0.25,13685,39,0.8239823245848955
0.25,13689,32,0.7195036700454387
0.25,13705,123,0.7170878247040113
0.25,13708,50,0.8371705963938973
0.25,13709,48,0.7174445740956826
0.25,13722,49,0.8347443044944594
0.25,13724,51,0.8348913847602394
0.25,13725,108,0.7106512691248021
0.25,20287,143,0.8482651840382855
0.25,20290,33,0.7052864462040056
0.25,20292,35,0.6983354093534141
0.25,20297,22,0.6824432539901696
0.25,20316,70,0.8338800054667214
0.25,20317,119,0.847829092920354
0.25,20318,67,0.8443983402489627
0.25,20325,98,0.7211150652431791
0.25,20333,135,0.6688425671969281
0.25,20339,23,0.7115407010597414
0.25,20359,58,0.7221993531314319
0.25,20362,136,0.6201346358252772
0.25,20364,114,0.8416490341956181
0.25,20372,59,0.8390852680750192
0.25,20375,78,0.838036809815951
0.25,20376,113,0.842956437960223
0.25,20378,87,0.717229670394005
0.25,20392,125,0.7845725749045492
0.25,20417,27,0.5895571711830799
0.25,20418,15,0.6925863991081382
0.25,20420,68,0.8452290471913217
0.25,20424,120,0.8433335683564831
0.25,20434,115,0.8395963813500348
0.25,20442,41,0.7095033650498955
0.25,20443,72,0.5283855961405927
0.25,20446,71,0.8431332095454233
0.25,20453,36,0.7195959833225674
0.25,20454,42,0.7206510919843082
0.25,20463,149,0.620115956642299
0.25,20473,127,0.8481083344967193
0.25,20477,100,0.7401143544989467
0.25,20478,81,0.8398197460057354
0.25,20483,137,0.7196175021732831
0.25,20489,25,0.8416972381809372
0.25,20504,128,0.8198076141444248
0.25,20513,52,0.7701291478712229
0.25,20515,60,0.8098299183072184
0.25,20516,138,0.8420871243451888
0.25,20518,129,0.694755143436685
0.25,20527,89,0.8413047966416627
0.25,20529,139,0.8314360170072692
0.25,20547,91,0.6968279903093132
0.25,20556,90,0.7871583676525645
0.25,20557,14,0.7062628806961301
0.25,20562,53,0.8443117881158227
0.25,20563,29,0.6999941971798294
0.25,20575,16,0.7151342361606082
0.25,20577,65,0.8491494446787572
0.25,20578,61,0.8356758991318727
0.25,20603,140,0.8398003655279066
0.25,20607,155,0.8043261893703139
0.25,20611,74,0.8325600161387936
0.25,20616,116,0.4903602031101238
0.25,20620,73,0.4969607963121609
0.25,20635,18,0.4183417085427136
0.25,22165,13,0.8481875739233284
0.25,22175,134,0.8416031844073846
0.25,22176,109,0.8439098575971243
0.25,22186,40,0.7239551969167771
0.25,22193,133,0.7093138109348672
0.25,22197,97,0.8390670152745286
0.25,22201,55,0.7040715571818551
0.25,22215,6,0.7204796503042117
0.25,22220,56,0.712536443148688
0.25,22228,118,0.8447863247863248
0.25,22246,7,0.7032750839023261
0.25,22247,86,0.7610445468509984
0.25,22270,21,0.7090582231500812
0.25,22278,111,0.843300687643259
0.25,22283,37,0.7046121347259712
0.25,22288,57,0.8422299651567944
0.25,22289,142,0.8427672955974843
0.25,22291,126,0.7704815117082051
0.25,22318,112,0.8329674852517492
