threshold,gt_id,pred_id,iou
0.25,6415,46,0.4251746431205797
0.25,6418,51,0.5422049194832773
0.25,6456,65,0.5584611938626945
0.25,6460,62,0.6090695856137608
0.25,6487,77,0.6427454047712162
0.25,6545,105,0.6667105436356456
0.25,6552,100,0.6140699014210729
0.25,6600,124,0.3533879153854703
0.25,6613,133,0.4750674184849228
0.25,6643,141,0.4583251617964307
0.25,6650,145,0.5868282270215972
0.25,6671,152,0.6180148613544373
0.25,6678,159,0.5565222795351439
0.25,6684,163,0.5098268470575135
0.25,6720,175,0.6860986547085202
0.25,6752,186,0.5780994336060415
0.25,6769,196,0.5562148464058347
0.25,6815,222,0.6585635359116022
0.25,6833,229,0.45121894155631465
0.25,6858,241,0.5662423976424854
0.25,6878,248,0.6374215481171548
0.25,6928,272,0.595159446067844
0.25,6950,280,0.44158706833210876
0.25,6954,281,0.4646614513083356
0.25,6960,282,0.5893218623481782
0.25,6991,296,0.45737207285342585
0.25,7009,309,0.7068366164542295
0.25,7023,315,0.6401847875593728
0.25,7025,314,0.6066121842496285
0.25,7038,318,0.5372950590341895
0.25,7042,324,0.5515830764920145
0.25,7095,344,0.4294478527607362
0.25,7099,343,0.533809645317683
0.25,7134,361,0.5867697063369397
0.25,7694,80,0.578766687857597
0.25,10224,31,0.5075678496868476
0.25,10230,33,0.49843535547625584
0.25,10241,48,0.4890372272143774
0.25,10242,38,0.422590950269394
0.25,10243,40,0.47307352099484884
0.25,10248,44,0.6453618502859985
0.25,10250,37,0.4715536652489367
0.25,10255,49,0.5506777384296007
0.25,10256,45,0.3829836470225239
0.25,10268,47,0.5472304648862513
0.25,10270,52,0.543680981595092
0.25,10271,55,0.6352736414619996
0.25,10280,54,0.45260582334230487
0.25,10283,53,0.5390375644488092
0.25,10289,58,0.6062825207169011
0.25,10296,59,0.5396786307948039
0.25,10297,64,0.5798864557988646
0.25,10299,61,0.5655241306112255
0.25,10313,66,0.5444362383062531
0.25,10317,67,0.5460024600246003
0.25,10318,72,0.5867042960175604
0.25,10319,70,0.5894391106619504
0.25,10323,68,0.5294792106692414
0.25,10324,69,0.5275111607142857
0.25,10326,78,0.4502013292582351
0.25,10333,73,0.5809511842683923
0.25,10343,81,0.5978631938298141
0.25,10346,82,0.4816753926701571
0.25,10350,85,0.5878292806484295
0.25,10351,86,0.5801174761573928
0.25,10353,87,0.662828947368421
0.25,10367,90,0.6410946893787575
0.25,10369,94,0.5625231681700235
0.25,10371,92,0.5210658984515665
0.25,10378,91,0.600739371534196
0.25,10382,93,0.5858260759813202
0.25,10384,95,0.604955706765952
0.25,10388,98,0.5633116883116883
0.25,10393,102,0.5815651098051345
0.25,10394,97,0.5585251175451621
0.25,10397,101,0.5610665672198396
0.25,10399,107,0.6339147286821706
0.25,10409,108,0.5573163963741753
0.25,10410,103,0.5333130514146638
0.25,10416,112,0.6169784874154427
0.25,10427,116,0.5646095717884131
0.25,10436,115,0.5962681846932322
0.25,10438,117,0.482961851693099
0.25,10439,125,0.5756892230576441
0.25,10443,119,0.5082863951473137
0.25,10444,120,0.5616606365364567
0.25,10450,128,0.5980758275840243
0.25,10451,121,0.41173635377756357
0.25,10454,123,0.561406739090407
0.25,10459,129,0.6358927877767707
0.25,10464,135,0.6280699456414959
0.25,10469,132,0.5782546316511759
0.25,10470,131,0.5527557100297915
