scan,crop_id,method,precision050,recall050,f1050,fp050,fn050,overseg_ratio
EFRGP01_00,crop02,BA-TOS,0.9961685823754788,0.981132075471698,0.988593155893536,1,5,0.9849056603773584
EFRGP01_00,crop03,BA-TOS,0.9674418604651164,0.9629629629629628,0.965197215777262,7,8,0.9953703703703703
EFRGP01_00,crop04,BA-TOS,1.0,0.9889705882352942,0.9944547134935304,0,3,0.9889705882352942
EFRGP01_00,crop05,BA-TOS,0.9133858267716536,0.8992248062015504,0.90625,11,13,0.9844961240310076
EFRGP01_00,crop06,BA-TOS,0.9887640449438202,0.974169741697417,0.9814126394052044,3,7,0.985239852398524
EFRGP01_00,crop07,BA-TOS,1.0,0.9847908745247148,0.992337164750958,0,4,0.9847908745247148
EFRGP01_00,crop02,Otsu+WS,0.7727272727272727,0.9622641509433962,0.8571428571428572,75,10,1.2452830188679245
EFRGP01_00,crop03,Otsu+WS,0.9377777777777778,0.976851851851852,0.9569160997732428,14,5,1.0416666666666667
EFRGP01_00,crop04,Otsu+WS,0.7724550898203593,0.9485294117647058,0.8514851485148515,76,14,1.2279411764705883
EFRGP01_00,crop05,Otsu+WS,0.9767441860465116,0.9767441860465116,0.9767441860465116,3,3,1.0
EFRGP01_00,crop06,Otsu+WS,0.770392749244713,0.940959409594096,0.8471760797342193,76,16,1.2214022140221403
EFRGP01_00,crop07,Otsu+WS,0.78125,0.9505703422053232,0.8576329331046312,70,13,1.2167300380228137
EFRGP01_00,crop02,Min-tree-core+WS,0.2461538461538461,0.060377358490566,0.0969696969696969,49,249,0.2452830188679245
EFRGP01_00,crop03,Min-tree-core+WS,0.7942857142857143,0.6435185185185185,0.710997442455243,36,77,0.8101851851851852
EFRGP01_00,crop04,Min-tree-core+WS,0.3230769230769231,0.0772058823529411,0.1246290801186943,44,251,0.2389705882352941
EFRGP01_00,crop05,Min-tree-core+WS,0.9921875,0.9844961240310076,0.9883268482490272,1,2,0.992248062015504
EFRGP01_00,crop06,Min-tree-core+WS,0.5898876404494382,0.3874538745387454,0.4677060133630289,73,166,0.6568265682656826
EFRGP01_00,crop07,Min-tree-core+WS,0.3936170212765957,0.1406844106463878,0.2072829131652661,57,226,0.3574144486692015
EFRGP01_01,crop02,BA-TOS,1.0,0.9847328244274808,0.9923076923076924,0,4,0.9847328244274808
EFRGP01_01,crop02,Otsu+WS,0.7323529411764705,0.950381679389313,0.8272425249169434,91,13,1.297709923664122
EFRGP01_01,crop02,Min-tree-core+WS,0.2075471698113207,0.0419847328244274,0.0698412698412698,42,251,0.2022900763358778
EFRGP01_01,crop03,BA-TOS,0.971563981042654,0.9624413145539906,0.9669811320754718,6,8,0.9906103286384976
EFRGP01_01,crop03,Otsu+WS,0.9722222222222222,0.9859154929577464,0.979020979020979,6,3,1.0140845070422535
EFRGP01_01,crop03,Min-tree-core+WS,0.7692307692307693,0.6103286384976526,0.680628272251309,39,83,0.7934272300469484
EFRGP01_01,crop04,BA-TOS,0.9961685823754788,0.9848484848484848,0.9904761904761904,1,4,0.9886363636363636
EFRGP01_01,crop04,Otsu+WS,0.7819314641744548,0.9507575757575758,0.8581196581196581,70,13,1.2159090909090908
EFRGP01_01,crop04,Min-tree-core+WS,0.3571428571428571,0.0757575757575757,0.125,36,244,0.2121212121212121
EFRGP01_01,crop05,BA-TOS,0.937007874015748,0.9296875,0.9333333333333332,8,9,0.9921875
EFRGP01_01,crop05,Otsu+WS,0.9765625,0.9765625,0.9765625,3,3,1.0
EFRGP01_01,crop05,Min-tree-core+WS,0.992248062015504,1.0,0.9961089494163424,1,0,1.0078125
EFRGP01_01,crop06,BA-TOS,0.992337164750958,0.9773584905660376,0.9847908745247148,2,6,0.9849056603773584
EFRGP01_01,crop06,Otsu+WS,0.8069620253164557,0.9622641509433962,0.8777969018932875,61,10,1.1924528301886792
EFRGP01_01,crop06,Min-tree-core+WS,0.6312849162011173,0.4264150943396226,0.509009009009009,66,152,0.6754716981132075
EFRGP01_01,crop07,BA-TOS,1.0,0.9769230769230768,0.9883268482490272,0,6,0.9769230769230768
EFRGP01_01,crop07,Otsu+WS,0.8,0.953846153846154,0.8701754385964914,62,12,1.1923076923076923
EFRGP01_01,crop07,Min-tree-core+WS,0.4196428571428571,0.1807692307692307,0.2526881720430107,65,213,0.4307692307692308
