scan,crop_id,method,threshold,gt_valid,pred_total,pred_eval,pred_ignored_border,tp,fp,fn,precision,recall,f1,overseg_ratio
EFRGP01_00,crop02,BA-TOS,0.25,265,394,261,133,261,0,4,1.0,0.9849056603773584,0.9923954372623576,0.9849056603773584
EFRGP01_00,crop02,BA-TOS,0.5,265,394,261,133,260,1,5,0.9961685823754788,0.981132075471698,0.988593155893536,0.9849056603773584
EFRGP01_00,crop02,BA-TOS,0.75,265,394,261,133,228,33,37,0.8735632183908046,0.8603773584905661,0.8669201520912547,0.9849056603773584
EFRGP01_00,crop02,BA-TOS raw/no-size-filter,0.25,265,405,261,144,261,0,4,1.0,0.9849056603773584,0.9923954372623576,0.9849056603773584
EFRGP01_00,crop02,BA-TOS raw/no-size-filter,0.5,265,405,261,144,223,38,42,0.8544061302681992,0.8415094339622642,0.8479087452471483,0.9849056603773584
EFRGP01_00,crop02,BA-TOS raw/no-size-filter,0.75,265,405,261,144,0,261,265,0.0,0.0,0.0,0.9849056603773584
EFRGP01_00,crop02,Otsu+WS,0.25,265,623,330,293,265,65,0,0.803030303030303,1.0,0.8907563025210083,1.2452830188679245
EFRGP01_00,crop02,Otsu+WS,0.5,265,623,330,293,255,75,10,0.7727272727272727,0.9622641509433962,0.8571428571428572,1.2452830188679245
EFRGP01_00,crop02,Otsu+WS,0.75,265,623,330,293,201,129,64,0.6090909090909091,0.7584905660377359,0.6756302521008404,1.2452830188679245
EFRGP01_00,crop03,BA-TOS,0.25,216,289,215,74,215,0,1,1.0,0.9953703703703703,0.9976798143851509,0.9953703703703703
EFRGP01_00,crop03,BA-TOS,0.5,216,289,215,74,208,7,8,0.9674418604651164,0.9629629629629628,0.965197215777262,0.9953703703703703
EFRGP01_00,crop03,BA-TOS,0.75,216,289,215,74,146,69,70,0.6790697674418604,0.6759259259259259,0.6774941995359628,0.9953703703703703
EFRGP01_00,crop03,BA-TOS raw/no-size-filter,0.25,216,289,215,74,215,0,1,1.0,0.9953703703703703,0.9976798143851509,0.9953703703703703
EFRGP01_00,crop03,BA-TOS raw/no-size-filter,0.5,216,289,215,74,187,28,29,0.8697674418604651,0.8657407407407407,0.8677494199535962,0.9953703703703703
EFRGP01_00,crop03,BA-TOS raw/no-size-filter,0.75,216,289,215,74,0,215,216,0.0,0.0,0.0,0.9953703703703703
EFRGP01_00,crop03,Otsu+WS,0.25,216,379,225,154,216,9,0,0.96,1.0,0.979591836734694,1.0416666666666667
EFRGP01_00,crop03,Otsu+WS,0.5,216,379,225,154,211,14,5,0.9377777777777778,0.976851851851852,0.9569160997732428,1.0416666666666667
EFRGP01_00,crop03,Otsu+WS,0.75,216,379,225,154,163,62,53,0.7244444444444444,0.7546296296296297,0.7392290249433106,1.0416666666666667
EFRGP01_00,crop04,BA-TOS,0.25,272,398,269,129,269,0,3,1.0,0.9889705882352942,0.9944547134935304,0.9889705882352942
EFRGP01_00,crop04,BA-TOS,0.5,272,398,269,129,269,0,3,1.0,0.9889705882352942,0.9944547134935304,0.9889705882352942
EFRGP01_00,crop04,BA-TOS,0.75,272,398,269,129,234,35,38,0.8698884758364313,0.8602941176470589,0.8650646950092423,0.9889705882352942
EFRGP01_00,crop04,BA-TOS raw/no-size-filter,0.25,272,397,270,127,270,0,2,1.0,0.9926470588235294,0.996309963099631,0.9926470588235294
EFRGP01_00,crop04,BA-TOS raw/no-size-filter,0.5,272,397,270,127,250,20,22,0.925925925925926,0.9191176470588236,0.922509225092251,0.9926470588235294
EFRGP01_00,crop04,BA-TOS raw/no-size-filter,0.75,272,397,270,127,29,241,243,0.1074074074074074,0.1066176470588235,0.1070110701107011,0.9926470588235294
EFRGP01_00,crop04,Otsu+WS,0.25,272,613,334,279,272,62,0,0.8143712574850299,1.0,0.8976897689768977,1.2279411764705883
EFRGP01_00,crop04,Otsu+WS,0.5,272,613,334,279,258,76,14,0.7724550898203593,0.9485294117647058,0.8514851485148515,1.2279411764705883
EFRGP01_00,crop04,Otsu+WS,0.75,272,613,334,279,216,118,56,0.6467065868263473,0.7941176470588235,0.7128712871287128,1.2279411764705883
EFRGP01_00,crop05,BA-TOS,0.25,129,420,358,62,126,232,3,0.3519553072625698,0.9767441860465116,0.5174537987679672,2.7751937984496124
EFRGP01_00,crop05,BA-TOS,0.5,129,420,358,62,116,242,13,0.3240223463687151,0.8992248062015504,0.4763860369609856,2.7751937984496124
EFRGP01_00,crop05,BA-TOS,0.75,129,420,358,62,60,298,69,0.1675977653631284,0.4651162790697674,0.2464065708418891,2.7751937984496124
EFRGP01_00,crop05,BA-TOS raw/no-size-filter,0.25,129,420,358,62,126,232,3,0.3519553072625698,0.9767441860465116,0.5174537987679672,2.7751937984496124
EFRGP01_00,crop05,BA-TOS raw/no-size-filter,0.5,129,420,358,62,116,242,13,0.3240223463687151,0.8992248062015504,0.4763860369609856,2.7751937984496124
EFRGP01_00,crop05,BA-TOS raw/no-size-filter,0.75,129,420,358,62,60,298,69,0.1675977653631284,0.4651162790697674,0.2464065708418891,2.7751937984496124
EFRGP01_00,crop05,Otsu+WS,0.25,129,229,129,100,129,0,0,1.0,1.0,1.0,1.0
EFRGP01_00,crop05,Otsu+WS,0.5,129,229,129,100,126,3,3,0.9767441860465116,0.9767441860465116,0.9767441860465116,1.0
EFRGP01_00,crop05,Otsu+WS,0.75,129,229,129,100,67,62,62,0.5193798449612403,0.5193798449612403,0.5193798449612403,1.0
EFRGP01_00,crop06,BA-TOS,0.25,271,367,267,100,267,0,4,1.0,0.985239852398524,0.9925650557620818,0.985239852398524
EFRGP01_00,crop06,BA-TOS,0.5,271,367,267,100,264,3,7,0.9887640449438202,0.974169741697417,0.9814126394052044,0.985239852398524
EFRGP01_00,crop06,BA-TOS,0.75,271,367,267,100,218,49,53,0.8164794007490637,0.8044280442804428,0.8104089219330854,0.985239852398524
EFRGP01_00,crop06,BA-TOS raw/no-size-filter,0.25,271,373,266,107,266,0,5,1.0,0.981549815498155,0.9906890130353818,0.981549815498155
EFRGP01_00,crop06,BA-TOS raw/no-size-filter,0.5,271,373,266,107,227,39,44,0.8533834586466166,0.8376383763837638,0.845437616387337,0.981549815498155
EFRGP01_00,crop06,BA-TOS raw/no-size-filter,0.75,271,373,266,107,0,266,271,0.0,0.0,0.0,0.981549815498155
EFRGP01_00,crop06,Otsu+WS,0.25,271,526,331,195,271,60,0,0.8187311178247734,1.0,0.9003322259136213,1.2214022140221403
EFRGP01_00,crop06,Otsu+WS,0.5,271,526,331,195,255,76,16,0.770392749244713,0.940959409594096,0.8471760797342193,1.2214022140221403
EFRGP01_00,crop06,Otsu+WS,0.75,271,526,331,195,213,118,58,0.6435045317220544,0.7859778597785978,0.707641196013289,1.2214022140221403
EFRGP01_00,crop07,BA-TOS,0.25,263,388,259,129,259,0,4,1.0,0.9847908745247148,0.992337164750958,0.9847908745247148
EFRGP01_00,crop07,BA-TOS,0.5,263,388,259,129,259,0,4,1.0,0.9847908745247148,0.992337164750958,0.9847908745247148
EFRGP01_00,crop07,BA-TOS,0.75,263,388,259,129,228,31,35,0.8803088803088803,0.8669201520912547,0.8735632183908046,0.9847908745247148
EFRGP01_00,crop07,BA-TOS raw/no-size-filter,0.25,263,390,258,132,258,0,5,1.0,0.9809885931558936,0.9904030710172744,0.9809885931558936
EFRGP01_00,crop07,BA-TOS raw/no-size-filter,0.5,263,390,258,132,241,17,22,0.9341085271317828,0.9163498098859316,0.9251439539347408,0.9809885931558936
EFRGP01_00,crop07,BA-TOS raw/no-size-filter,0.75,263,390,258,132,8,250,255,0.0310077519379844,0.0304182509505703,0.0307101727447216,0.9809885931558936
EFRGP01_00,crop07,Otsu+WS,0.25,263,599,320,279,263,57,0,0.821875,1.0,0.902229845626072,1.2167300380228137
EFRGP01_00,crop07,Otsu+WS,0.5,263,599,320,279,250,70,13,0.78125,0.9505703422053232,0.8576329331046312,1.2167300380228137
EFRGP01_00,crop07,Otsu+WS,0.75,263,599,320,279,212,108,51,0.6625,0.8060836501901141,0.7272727272727273,1.2167300380228137
EFRGP01_01,crop02,BA-TOS,0.25,262,394,255,139,255,0,7,1.0,0.9732824427480916,0.9864603481624756,0.9732824427480916
EFRGP01_01,crop02,BA-TOS,0.5,262,394,255,139,214,41,48,0.8392156862745098,0.816793893129771,0.8278529980657641,0.9732824427480916
EFRGP01_01,crop02,BA-TOS,0.75,262,394,255,139,0,255,262,0.0,0.0,0.0,0.9732824427480916
EFRGP01_01,crop02,BA-TOS raw/no-size-filter,0.25,262,405,258,147,258,0,4,1.0,0.9847328244274808,0.9923076923076924,0.9847328244274808
