scan,crop_id,variant,gt_valid,pred_total,pred_eval,pred_ignored_border,tp,fp,fn,precision,recall,f1,overseg
EFRGP01_00,crop02,Full BA-TOS,265,394,261,133,260,1,5,0.9961685823754788,0.981132075471698,0.988593155893536,0.9849056603773584
EFRGP01_00,crop02,w/o size filter,265,404,261,143,260,1,5,0.9961685823754788,0.981132075471698,0.988593155893536,0.9849056603773584
EFRGP01_00,crop02,w/o boundary rejection,265,5,5,0,0,5,265,0.0,0.0,0.0,0.0188679245283018
EFRGP01_00,crop02,w/o flattening,265,395,261,134,260,1,5,0.9961685823754788,0.981132075471698,0.988593155893536,0.9849056603773584
EFRGP01_00,crop03,Full BA-TOS,216,289,215,74,208,7,8,0.9674418604651164,0.9629629629629628,0.965197215777262,0.9953703703703703
EFRGP01_00,crop03,w/o size filter,216,356,270,86,208,62,8,0.7703703703703704,0.9629629629629628,0.8559670781893004,1.25
EFRGP01_00,crop03,w/o boundary rejection,216,7,7,0,0,7,216,0.0,0.0,0.0,0.0324074074074074
EFRGP01_00,crop03,w/o flattening,216,75,43,32,12,31,204,0.2790697674418604,0.0555555555555555,0.0926640926640926,0.199074074074074
EFRGP01_00,crop04,Full BA-TOS,272,398,269,129,269,0,3,1.0,0.9889705882352942,0.9944547134935304,0.9889705882352942
EFRGP01_00,crop04,w/o size filter,272,407,269,138,269,0,3,1.0,0.9889705882352942,0.9944547134935304,0.9889705882352942
EFRGP01_00,crop04,w/o boundary rejection,272,5,5,0,0,5,272,0.0,0.0,0.0,0.0183823529411764
EFRGP01_00,crop04,w/o flattening,272,400,269,131,269,0,3,1.0,0.9889705882352942,0.9944547134935304,0.9889705882352942
EFRGP01_00,crop05,Full BA-TOS,129,183,127,56,116,11,13,0.9133858267716536,0.8992248062015504,0.90625,0.9844961240310076
EFRGP01_00,crop05,w/o size filter,129,420,358,62,116,242,13,0.3240223463687151,0.8992248062015504,0.4763860369609856,2.7751937984496124
EFRGP01_00,crop05,w/o boundary rejection,129,1,1,0,0,1,129,0.0,0.0,0.0,0.0077519379844961
EFRGP01_00,crop05,w/o flattening,129,0,0,0,0,0,129,0.0,0.0,0.0,0.0
EFRGP01_00,crop06,Full BA-TOS,271,367,267,100,264,3,7,0.9887640449438202,0.974169741697417,0.9814126394052044,0.985239852398524
EFRGP01_00,crop06,w/o size filter,271,378,268,110,264,4,7,0.9850746268656716,0.974169741697417,0.979591836734694,0.988929889298893
EFRGP01_00,crop06,w/o boundary rejection,271,9,9,0,0,9,271,0.0,0.0,0.0,0.033210332103321
EFRGP01_00,crop06,w/o flattening,271,366,268,98,266,2,5,0.9925373134328358,0.981549815498155,0.9870129870129872,0.988929889298893
EFRGP01_00,crop07,Full BA-TOS,263,388,259,129,259,0,4,1.0,0.9847908745247148,0.992337164750958,0.9847908745247148
