scan,crop_id,method,threshold,gt_valid,pred_total,pred_eval,pred_ignored_border,tp,fp,fn,precision,recall,f1,overseg_ratio
EFRGP01_00,crop02,BA-TOS,0.25,265,394,261,133,261,0,4,1.0,0.9849056603773584,0.9923954372623576,0.9849056603773584
EFRGP01_00,crop02,BA-TOS,0.5,265,394,261,133,260,1,5,0.9961685823754788,0.981132075471698,0.988593155893536,0.9849056603773584
EFRGP01_00,crop02,BA-TOS,0.75,265,394,261,133,228,33,37,0.8735632183908046,0.8603773584905661,0.8669201520912547,0.9849056603773584
EFRGP01_00,crop02,Otsu+WS,0.25,265,623,330,293,265,65,0,0.803030303030303,1.0,0.8907563025210083,1.2452830188679245
EFRGP01_00,crop02,Otsu+WS,0.5,265,623,330,293,255,75,10,0.7727272727272727,0.9622641509433962,0.8571428571428572,1.2452830188679245
EFRGP01_00,crop02,Otsu+WS,0.75,265,623,330,293,201,129,64,0.6090909090909091,0.7584905660377359,0.6756302521008404,1.2452830188679245
EFRGP01_00,crop02,Min-tree-core+WS,0.25,265,132,65,67,33,32,232,0.5076923076923077,0.1245283018867924,0.2,0.2452830188679245
EFRGP01_00,crop02,Min-tree-core+WS,0.5,265,132,65,67,16,49,249,0.2461538461538461,0.060377358490566,0.0969696969696969,0.2452830188679245
EFRGP01_00,crop02,Min-tree-core+WS,0.75,265,132,65,67,12,53,253,0.1846153846153846,0.0452830188679245,0.0727272727272727,0.2452830188679245
EFRGP01_01,crop02,BA-TOS,0.25,262,405,258,147,258,0,4,1.0,0.9847328244274808,0.9923076923076924,0.9847328244274808
EFRGP01_01,crop02,BA-TOS,0.5,262,405,258,147,258,0,4,1.0,0.9847328244274808,0.9923076923076924,0.9847328244274808
EFRGP01_01,crop02,BA-TOS,0.75,262,405,258,147,229,29,33,0.8875968992248062,0.8740458015267175,0.8807692307692309,0.9847328244274808
EFRGP01_01,crop02,Otsu+WS,0.25,262,634,340,294,262,78,0,0.7705882352941177,1.0,0.8704318936877077,1.297709923664122
EFRGP01_01,crop02,Otsu+WS,0.5,262,634,340,294,249,91,13,0.7323529411764705,0.950381679389313,0.8272425249169434,1.297709923664122
EFRGP01_01,crop02,Otsu+WS,0.75,262,634,340,294,198,142,64,0.5823529411764706,0.7557251908396947,0.6578073089700996,1.297709923664122
EFRGP01_01,crop02,Min-tree-core+WS,0.25,262,120,53,67,23,30,239,0.4339622641509434,0.0877862595419847,0.146031746031746,0.2022900763358778
EFRGP01_01,crop02,Min-tree-core+WS,0.5,262,120,53,67,11,42,251,0.2075471698113207,0.0419847328244274,0.0698412698412698,0.2022900763358778
EFRGP01_01,crop02,Min-tree-core+WS,0.75,262,120,53,67,8,45,254,0.1509433962264151,0.0305343511450381,0.0507936507936508,0.2022900763358778
EFRGP01_00,crop03,BA-TOS,0.25,216,289,215,74,215,0,1,1.0,0.9953703703703703,0.9976798143851509,0.9953703703703703
EFRGP01_00,crop03,BA-TOS,0.5,216,289,215,74,208,7,8,0.9674418604651164,0.9629629629629628,0.965197215777262,0.9953703703703703
EFRGP01_00,crop03,BA-TOS,0.75,216,289,215,74,146,69,70,0.6790697674418604,0.6759259259259259,0.6774941995359628,0.9953703703703703
EFRGP01_00,crop03,Otsu+WS,0.25,216,379,225,154,216,9,0,0.96,1.0,0.979591836734694,1.0416666666666667
EFRGP01_00,crop03,Otsu+WS,0.5,216,379,225,154,211,14,5,0.9377777777777778,0.976851851851852,0.9569160997732428,1.0416666666666667
EFRGP01_00,crop03,Otsu+WS,0.75,216,379,225,154,163,62,53,0.7244444444444444,0.7546296296296297,0.7392290249433106,1.0416666666666667
EFRGP01_00,crop03,Min-tree-core+WS,0.25,216,250,175,75,174,1,42,0.9942857142857144,0.8055555555555556,0.8900255754475702,0.8101851851851852
EFRGP01_00,crop03,Min-tree-core+WS,0.5,216,250,175,75,139,36,77,0.7942857142857143,0.6435185185185185,0.710997442455243,0.8101851851851852
EFRGP01_00,crop03,Min-tree-core+WS,0.75,216,250,175,75,101,74,115,0.5771428571428572,0.4675925925925926,0.5166240409207162,0.8101851851851852
EFRGP01_01,crop03,BA-TOS,0.25,213,289,211,78,211,0,2,1.0,0.9906103286384976,0.9952830188679246,0.9906103286384976
EFRGP01_01,crop03,BA-TOS,0.5,213,289,211,78,205,6,8,0.971563981042654,0.9624413145539906,0.9669811320754718,0.9906103286384976
EFRGP01_01,crop03,BA-TOS,0.75,213,289,211,78,152,59,61,0.7203791469194313,0.7136150234741784,0.7169811320754718,0.9906103286384976
EFRGP01_01,crop03,Otsu+WS,0.25,213,364,216,148,213,3,0,0.9861111111111112,1.0,0.993006993006993,1.0140845070422535
EFRGP01_01,crop03,Otsu+WS,0.5,213,364,216,148,210,6,3,0.9722222222222222,0.9859154929577464,0.979020979020979,1.0140845070422535
EFRGP01_01,crop03,Otsu+WS,0.75,213,364,216,148,165,51,48,0.7638888888888888,0.7746478873239436,0.7692307692307692,1.0140845070422535
EFRGP01_01,crop03,Min-tree-core+WS,0.25,213,250,169,81,169,0,44,1.0,0.7934272300469484,0.8848167539267016,0.7934272300469484
EFRGP01_01,crop03,Min-tree-core+WS,0.5,213,250,169,81,130,39,83,0.7692307692307693,0.6103286384976526,0.680628272251309,0.7934272300469484
EFRGP01_01,crop03,Min-tree-core+WS,0.75,213,250,169,81,106,63,107,0.6272189349112426,0.4976525821596244,0.5549738219895288,0.7934272300469484
EFRGP01_00,crop04,BA-TOS,0.25,272,398,269,129,269,0,3,1.0,0.9889705882352942,0.9944547134935304,0.9889705882352942
EFRGP01_00,crop04,BA-TOS,0.5,272,398,269,129,269,0,3,1.0,0.9889705882352942,0.9944547134935304,0.9889705882352942
EFRGP01_00,crop04,BA-TOS,0.75,272,398,269,129,234,35,38,0.8698884758364313,0.8602941176470589,0.8650646950092423,0.9889705882352942
EFRGP01_00,crop04,Otsu+WS,0.25,272,613,334,279,272,62,0,0.8143712574850299,1.0,0.8976897689768977,1.2279411764705883
EFRGP01_00,crop04,Otsu+WS,0.5,272,613,334,279,258,76,14,0.7724550898203593,0.9485294117647058,0.8514851485148515,1.2279411764705883
EFRGP01_00,crop04,Otsu+WS,0.75,272,613,334,279,216,118,56,0.6467065868263473,0.7941176470588235,0.7128712871287128,1.2279411764705883
EFRGP01_00,crop04,Min-tree-core+WS,0.25,272,127,65,62,30,35,242,0.4615384615384615,0.1102941176470588,0.1780415430267062,0.2389705882352941
EFRGP01_00,crop04,Min-tree-core+WS,0.5,272,127,65,62,21,44,251,0.3230769230769231,0.0772058823529411,0.1246290801186943,0.2389705882352941
EFRGP01_00,crop04,Min-tree-core+WS,0.75,272,127,65,62,16,49,256,0.2461538461538461,0.0588235294117647,0.0949554896142433,0.2389705882352941
EFRGP01_01,crop04,BA-TOS,0.25,264,397,261,136,261,0,3,1.0,0.9886363636363636,0.9942857142857142,0.9886363636363636
EFRGP01_01,crop04,BA-TOS,0.5,264,397,261,136,260,1,4,0.9961685823754788,0.9848484848484848,0.9904761904761904,0.9886363636363636
EFRGP01_01,crop04,BA-TOS,0.75,264,397,261,136,233,28,31,0.89272030651341,0.8825757575757576,0.8876190476190476,0.9886363636363636
EFRGP01_01,crop04,Otsu+WS,0.25,264,610,321,289,264,57,0,0.822429906542056,1.0,0.9025641025641024,1.2159090909090908
EFRGP01_01,crop04,Otsu+WS,0.5,264,610,321,289,251,70,13,0.7819314641744548,0.9507575757575758,0.8581196581196581,1.2159090909090908
EFRGP01_01,crop04,Otsu+WS,0.75,264,610,321,289,207,114,57,0.6448598130841121,0.7840909090909091,0.7076923076923077,1.2159090909090908
EFRGP01_01,crop04,Min-tree-core+WS,0.25,264,123,56,67,33,23,231,0.5892857142857143,0.125,0.20625,0.2121212121212121
EFRGP01_01,crop04,Min-tree-core+WS,0.5,264,123,56,67,20,36,244,0.3571428571428571,0.0757575757575757,0.125,0.2121212121212121
EFRGP01_01,crop04,Min-tree-core+WS,0.75,264,123,56,67,14,42,250,0.25,0.053030303030303,0.0875,0.2121212121212121
EFRGP01_00,crop05,BA-TOS,0.25,129,183,127,56,126,1,3,0.9921259842519684,0.9767441860465116,0.984375,0.9844961240310076
EFRGP01_00,crop05,BA-TOS,0.5,129,183,127,56,116,11,13,0.9133858267716536,0.8992248062015504,0.90625,0.9844961240310076
EFRGP01_00,crop05,BA-TOS,0.75,129,183,127,56,60,67,69,0.4724409448818897,0.4651162790697674,0.46875,0.9844961240310076
EFRGP01_00,crop05,Otsu+WS,0.25,129,229,129,100,129,0,0,1.0,1.0,1.0,1.0
EFRGP01_00,crop05,Otsu+WS,0.5,129,229,129,100,126,3,3,0.9767441860465116,0.9767441860465116,0.9767441860465116,1.0
