threshold,gt_id,pred_id,iou
0.75,7250,37,0.870757363253857
0.75,7257,26,0.8044564217168397
0.75,7258,40,0.821476241324079
0.75,7264,36,0.7994626122288485
0.75,7265,29,0.8686875841065231
0.75,7270,35,0.9641399874450722
0.75,7276,43,0.9440172254690864
0.75,7277,32,0.8185837743685939
0.75,7280,42,0.7915265200517464
0.75,7282,44,0.8299932750504371
0.75,7284,48,0.7614296539530184
0.75,7285,41,0.966753947472824
0.75,7292,47,0.9657599240866678
0.75,7294,52,0.9623536855425499
0.75,7297,54,0.9658855412083532
0.75,7298,51,0.9591691675880588
0.75,7304,55,0.9576798802112065
0.75,7306,56,0.8513522860897835
0.75,7310,61,0.9487942373943
0.75,7319,53,0.8047360502387649
0.75,7322,64,0.9514440859368852
0.75,7324,62,0.9558614143331752
0.75,7327,66,0.9607131587251498
0.75,7328,67,0.9494728621632175
0.75,7335,75,0.9619702719797596
0.75,7339,68,0.8494423791821561
0.75,7341,72,0.9524178549287042
0.75,7342,71,0.9533447952485151
0.75,7345,77,0.9527816736792893
0.75,7351,79,0.9545667447306792
0.75,7353,80,0.9637322004562977
0.75,7360,74,0.9590041624126286
0.75,7363,83,0.9630652671454503
0.75,7364,87,0.9497778483021263
0.75,7365,84,0.9584357896406758
0.75,7366,85,0.9612733328169778
0.75,7368,78,0.9538390164694966
0.75,7371,82,0.9564297468850403
0.75,7373,88,0.9552447552447553
0.75,7376,86,0.9503568104250698
0.75,7380,89,0.9593233674272227
0.75,7382,92,0.9677009761130069
0.75,7383,93,0.9628470864294094
0.75,7388,91,0.9483096713467722
0.75,7389,96,0.956630070855719
0.75,7390,101,0.9585710935667944
0.75,7392,97,0.9546236895634486
0.75,7396,95,0.7636051291490276
0.75,7401,94,0.7512120282295183
0.75,7404,102,0.8847108644859814
0.75,7405,107,0.9475646702400373
0.75,7410,105,0.9561526479750779
0.75,7412,106,0.9603073997781651
0.75,7413,104,0.9619219596451284
0.75,7417,109,0.7865448504983389
0.75,7420,110,0.9577808260935833
0.75,7424,108,0.9593180015860429
0.75,7428,114,0.9619002450399178
0.75,7430,113,0.9598092110407381
0.75,7433,111,0.9664309581164038
0.75,7434,112,0.953914535246413
0.75,7436,116,0.960660096981073
0.75,7441,119,0.9549909825139183
0.75,7443,120,0.9642010431484116
0.75,7447,121,0.9610358565737052
0.75,7448,122,0.96608306508597
0.75,7449,117,0.9612207976087469
0.75,7460,130,0.9590926867422761
0.75,7462,128,0.9606617065062529
0.75,7466,131,0.9546619051315892
0.75,7467,127,0.9546494203012856
0.75,7472,133,0.7967008183516979
0.75,7473,129,0.9657296272899558
0.75,7476,137,0.9590661724110734
0.75,7477,138,0.9615384615384616
0.75,7480,134,0.9537432947212936
0.75,7481,135,0.9509711779448622
0.75,7483,132,0.8867471632237416
0.75,7484,140,0.8720061989292759
0.75,7488,139,0.9589360709286048
0.75,7491,144,0.9574133731437102
0.75,7494,141,0.9522184300341296
0.75,7495,143,0.9543925526089337
0.75,7496,142,0.955977793416217
0.75,7497,145,0.9595093953927195
0.75,7512,157,0.9672602411562724
0.75,7513,147,0.9582225003911751
0.75,7516,151,0.9559571305640303
0.75,7517,152,0.9612305760477162
0.75,7519,148,0.9591394520971985
0.75,7523,158,0.8674268924024066
0.75,7527,154,0.7628161312371838
0.75,7529,159,0.9591771900563895
0.75,7542,166,0.9614203606015275
0.75,7543,165,0.9582680864390855
0.75,7544,163,0.9585032946344525
0.75,7545,162,0.950950950950951
0.75,7546,170,0.9589873018376843
0.75,7549,173,0.9540121269391291
0.75,7550,164,0.9562186716791979
0.75,7555,168,0.9575908489611703
0.75,7558,171,0.9471759763497744
0.75,7562,175,0.954437963108939
0.75,7709,169,0.9536694418748073
0.75,7712,177,0.9543519394512772
0.75,14349,232,0.9648103055533737
0.75,14351,239,0.9525685471162937
0.75,14352,236,0.955630861375995
0.75,14353,237,0.9505275498241501
0.75,14354,231,0.9582845090227325
0.75,14355,234,0.9610636277302944
0.75,14356,233,0.7875568072713307
0.75,14359,242,0.9546087225487163
0.75,14360,238,0.9570939106058246
0.75,14364,243,0.9513883547419429
0.75,14368,244,0.9514088333462702
0.75,14369,248,0.9702717781142902
0.75,14373,247,0.9593612774451098
0.75,14377,250,0.874384236453202
0.75,14380,253,0.9582936129647283
0.75,14384,255,0.9466854283927455
0.75,14387,251,0.8172677302587478
0.75,14394,252,0.9683969345026467
0.75,14396,262,0.9618714750973072
0.75,14397,257,0.9448654500463965
0.75,14398,254,0.9628929331127393
0.75,14399,264,0.9563284722763784
0.75,14408,260,0.9638783269961977
0.75,14410,268,0.9591597688583476
0.75,14411,258,0.9744487781580833
0.75,14412,266,0.9610266159695817
0.75,14417,265,0.9577130186886285
0.75,14418,261,0.9576125915536855
0.75,14419,267,0.9527142634935448
0.75,14422,271,0.9670663469224621
0.75,14429,275,0.9459687956344631
0.75,14430,270,0.9646024644847343
0.75,14433,278,0.9606225680933852
0.75,14442,287,0.9593725490196079
0.75,14443,286,0.9504564250604666
0.75,14444,289,0.9700353912701534
0.75,14445,281,0.960287679799875
0.75,14446,283,0.9600617999227501
0.75,14451,288,0.9584961700797249
0.75,14453,294,0.9578528827037773
0.75,14457,284,0.9594415412214335
0.75,14465,297,0.9633063565647836
0.75,14467,290,0.9628285060374082
0.75,14471,293,0.9551842598376015
0.75,14473,299,0.9555006180469716
0.75,14476,296,0.7676172953081877
0.75,14477,298,0.9599468043495267
0.75,14479,303,0.9526099433801287
0.75,14482,302,0.902046892445106
0.75,14494,305,0.9650155044923273
0.75,14495,306,0.9533411488862837
0.75,14496,300,0.9417227768748548
0.75,14501,304,0.9618020004725526
0.75,14503,307,0.9595617215828472
0.75,14504,308,0.95470873028268
0.75,14506,310,0.9615960886365429
0.75,14510,317,0.9489835656982631
0.75,14511,320,0.9600093911410237
0.75,14512,315,0.9592636114375245
0.75,14513,319,0.9631379962192816
0.75,14517,316,0.9641531780497434
0.75,14521,318,0.9510032664489034
0.75,14523,330,0.9659724950884087
0.75,14524,321,0.9576944247857199
0.75,14533,325,0.9540844406006762
0.75,14534,323,0.9572188330987017
0.75,14538,331,0.9547008547008548
0.75,14542,324,0.9577805525206805
0.75,14554,333,0.9502591475206931
0.75,14556,341,0.8806498194945849
0.75,14559,335,0.920730797912006
0.75,14562,338,0.9616418854792788
0.75,14563,336,0.95
0.75,14566,344,0.9596553074813945
0.75,14567,337,0.9519008773279976
0.75,14568,345,0.9573333333333334
0.75,14569,349,0.9611619829491632
0.75,14571,339,0.9505256648113791
0.75,14572,340,0.9528865817209375
0.75,14576,346,0.9585101367279585
0.75,14577,348,0.9593151115300032
0.75,14579,350,0.9529741513547182
0.75,14594,352,0.9657512626262627
0.75,14598,354,0.9628249902987971
0.75,14601,356,0.9656110044785668
0.75,14606,357,0.9303744375810264
0.75,14610,358,0.9335368180083937
0.75,14614,364,0.8973607038123167
0.75,14617,367,0.7905361964767905
0.75,14629,371,0.7577300384949708
0.75,14632,377,0.8746046922115173
0.75,14637,366,0.8352253181974544
0.75,14643,374,0.9287894977865975
0.75,14665,386,0.9371995658241588
0.75,15983,176,0.9533988212180746
0.75,15988,184,0.9613009147056524
0.75,15991,181,0.960271700497591
0.75,15994,187,0.9650710486623799
0.75,15996,182,0.9574419315403423
0.75,16000,188,0.9302010390783827
0.75,16001,185,0.9564540001557996
0.75,16011,194,0.9555520898315658
0.75,16013,190,0.9598390405554679
0.75,16015,192,0.9658574784651527
0.75,16016,193,0.9517447343602641
0.75,16019,200,0.9580974842767296
0.75,16021,195,0.9009395575941407
0.75,16022,201,0.9612531565656566
0.75,16023,197,0.9635808270676691
0.75,16024,198,0.9468209900680379
0.75,16026,206,0.9582326813683473
0.75,16028,202,0.951105574587356
0.75,16029,203,0.9349040006119483
0.75,16045,208,0.9597388465723613
0.75,16046,211,0.9542104437823428
0.75,16047,205,0.9614178168130489
0.75,16052,213,0.9556947162426614
0.75,16059,219,0.9518541601745092
0.75,16061,214,0.8630408611288153
0.75,16062,216,0.9624565286120771
0.75,16064,218,0.9646170781569429
0.75,16065,217,0.9551157172913582
0.75,16072,222,0.9567592881673431
0.75,16073,230,0.9536772098058928
0.75,16078,220,0.9565353345841151
0.75,16079,223,0.9663488060524864
0.75,16084,228,0.9628141495312377
0.75,16085,229,0.9551981169085916
