threshold,gt_id,pred_id,iou
0.75,6415,291,0.7994141227258711
0.75,6418,103,0.831762196380651
0.75,6456,242,0.7836992596374777
0.75,6460,58,0.9469673161533627
0.75,6487,23,0.9374618204031765
0.75,6545,256,0.8195558297347316
0.75,6552,164,0.9357580398162327
0.75,6600,167,0.9349026222971937
0.75,6613,185,0.935385814497272
0.75,6643,16,0.9406805877803558
0.75,6650,38,0.9321401370906321
0.75,6671,81,0.8311520109066122
0.75,6678,25,0.9267844847372045
0.75,6684,17,0.8122579783682735
0.75,6720,31,0.9397266584766585
0.75,6752,259,0.9469614968300603
0.75,6769,78,0.8879230769230769
0.75,6815,262,0.9381895118633822
0.75,6833,188,0.9473603082851638
0.75,6858,300,0.9376160990712075
0.75,6878,299,0.9437286556969885
0.75,6928,39,0.9348326680994781
0.75,6954,306,0.9424305395212806
0.75,6960,98,0.9481230247436985
0.75,6991,176,0.8719257874298864
0.75,7023,174,0.887993178823347
0.75,7025,99,0.9292821876186859
0.75,7042,175,0.9232519338692553
0.75,7095,250,0.8357894736842105
0.75,10208,53,0.8374380894226202
0.75,10210,253,0.8477628480398948
0.75,10211,311,0.8614102118791247
0.75,10217,192,0.8690963183339532
0.75,10241,36,0.932638516361407
0.75,10248,334,0.8754764930114358
0.75,10250,333,0.931163572465429
0.75,10255,225,0.9436942092011902
0.75,10270,196,0.9448376673334359
0.75,10271,54,0.9393316586739743
0.75,10280,59,0.9371250664439214
0.75,10283,65,0.9480589642664197
0.75,10289,183,0.9366414570149715
0.75,10296,160,0.9270229007633588
0.75,10299,15,0.9460481630132757
0.75,10317,231,0.9417908155429273
0.75,10318,77,0.9374619134673979
0.75,10319,122,0.9348142474147836
0.75,10323,230,0.9418436477125676
0.75,10324,200,0.7875692064329027
0.75,10333,313,0.9459667487684729
0.75,10350,161,0.9409815856383389
0.75,10351,105,0.9312572087658593
0.75,10367,104,0.944140682724989
0.75,10369,255,0.9377236391320898
0.75,10371,28,0.8927007823153664
0.75,10378,162,0.9508297954457738
0.75,10382,277,0.9388021834396864
0.75,10384,85,0.9372006797466399
0.75,10388,48,0.9454194047158871
0.75,10393,153,0.9186617100371747
0.75,10394,278,0.9260922514842441
0.75,10397,315,0.9420557867159809
0.75,10399,163,0.9414641601711753
0.75,10409,232,0.8842539537015814
0.75,10410,125,0.9283916723861817
0.75,10427,24,0.9335141418055017
0.75,10436,165,0.9394218234797945
0.75,10444,55,0.941033434650456
0.75,10450,150,0.9364351745740699
0.75,10454,84,0.9414089216505813
