threshold,gt_id,pred_id,iou
0.75,8164,54,0.9354082457558609
0.75,8239,77,0.9354342190537913
0.75,8261,91,0.9353420716112532
0.75,8313,117,0.9280979489978944
0.75,8334,131,0.9341025432680589
0.75,8340,130,0.7979583447519868
0.75,8370,146,0.9260025461489497
0.75,8406,160,0.9346665604334315
0.75,8415,161,0.9291137217294014
0.75,8447,191,0.9384702917987483
0.75,8453,189,0.7789196310935441
0.75,8466,194,0.928383022939813
0.75,8530,231,0.911670694628518
0.75,8539,232,0.9335244009234933
0.75,8540,233,0.9350670327895332
0.75,8542,237,0.9304333919718535
0.75,8545,235,0.9370248859726334
0.75,8546,230,0.9136707478749123
0.75,8548,247,0.9279450106660346
0.75,8552,239,0.9354264444084803
0.75,8561,250,0.934763181411975
0.75,8562,248,0.8613545225011139
0.75,8567,241,0.9410621761658031
0.75,8630,15,0.8143099307811837
0.75,8631,21,0.9302026375040205
0.75,8652,37,0.934237501971298
0.75,8685,55,0.9337109125717933
0.75,8754,86,0.9297628781684383
0.75,8779,103,0.9320296483204542
0.75,8780,100,0.9370388193776067
0.75,8785,104,0.9303099976215016
0.75,8793,107,0.932700741567658
0.75,8801,119,0.9329810233005045
0.75,8876,147,0.9341905598594361
0.75,8899,154,0.8607548009194038
0.75,8903,163,0.9312429469611478
