scan,crop_id,method,n_valid_gt,gt_label,best_pred_label,best_iou,intersection,gt_volume,pred_volume,volume_ratio,relative_volume_error,centroid_error,recovered_iou050,recovered_iou075
EFRGP01_01,crop07,BA-TOS,260,8886,345,0.3704479878511769,12197,12378,32744,2.64533850379706,1.6453385037970594,21.567548877756785,0,0
EFRGP01_00,crop06,BA-TOS,271,10527,167,0.1941428701760788,6384,12328,26939,2.185188189487346,1.185188189487346,16.228457039100892,0,0
EFRGP01_01,crop02,BA-TOS,262,12135,359,0.4073952449756994,12406,12607,30251,2.3995399381296107,1.3995399381296103,15.215065124084813,0,0
EFRGP01_00,crop02,BA-TOS,265,5398,71,0.4430231708208464,12122,12210,27274,2.2337428337428338,1.2337428337428338,14.7852124014206,0,0
EFRGP01_01,crop04,BA-TOS,264,7514,210,0.4806587972563407,12053,12250,24879,2.030938775510204,1.0309387755102042,14.623287100914366,0,0
EFRGP01_01,crop04,BA-TOS,264,16050,210,0.4874900079936051,12197,12338,24879,2.016453233911493,1.016453233911493,14.42291942160555,0,0
EFRGP01_01,crop07,BA-TOS,260,8244,56,0.4817291429020965,12247,12391,25279,2.040109757081753,1.0401097570817528,13.414731755184718,0,0
EFRGP01_00,crop06,BA-TOS,271,10592,167,0.4549187909282622,12296,12386,26939,2.174955595026643,1.174955595026643,12.924869470328195,0,0
EFRGP01_00,crop04,BA-TOS,272,7482,125,0.4327538883806038,12298,12338,28378,2.300048630248014,1.3000486302480143,11.671306505101503,0,0
EFRGP01_01,crop05,BA-TOS,128,13400,21,0.2758320303774849,12349,12431,44688,3.59488375834607,2.59488375834607,11.555874051931344,0,0
EFRGP01_01,crop06,BA-TOS,265,10527,113,0.2883839086859688,8287,12292,24731,2.0119589977220955,1.0119589977220955,11.31849483792064,0,0
EFRGP01_01,crop02,BA-TOS,262,10022,362,0.3857187993680884,12208,12371,31487,2.545226739956349,1.5452267399563495,11.084184906961008,0,0
EFRGP01_00,crop07,BA-TOS,263,8938,352,0.3123479863795796,12200,12269,38990,3.17792811150053,2.17792811150053,11.014364548536363,0,0
EFRGP01_01,crop02,BA-TOS,262,5387,77,0.4363467646953852,12226,12399,27846,2.245826276312606,1.2458262763126058,10.901894922719396,0,0
EFRGP01_01,crop04,BA-TOS,264,7278,39,0.4200612036722203,12354,12474,29290,2.3480840147506816,1.3480840147506814,10.738579641633349,0,0
EFRGP01_00,crop03,BA-TOS,216,12164,269,0.528085961387263,12090,12098,22886,1.89171763927922,0.8917176392792197,10.61381247997136,1,0
EFRGP01_00,crop02,BA-TOS,265,10085,367,0.5515678810947979,12172,12283,21957,1.7875926076691362,0.7875926076691362,10.59438914500369,1,0
EFRGP01_01,crop02,BA-TOS,262,5398,85,0.551115700624074,12275,12456,22092,1.7736030828516378,0.7736030828516378,10.427962424610431,1,0
EFRGP01_00,crop04,BA-TOS,272,7278,25,0.4549881936245573,12332,12414,27022,2.176735943289834,1.176735943289834,10.356883369910106,0,0
EFRGP01_01,crop07,BA-TOS,260,8181,34,0.4458603364159324,12246,12334,27378,2.2197178530890223,1.2197178530890225,10.32536140385992,0,0
EFRGP01_00,crop05,BA-TOS,129,13400,16,0.3259265137687485,12321,12407,37717,3.039977432094785,2.039977432094785,10.27516238914186,0,0
EFRGP01_00,crop04,BA-TOS,272,14620,358,0.4050232374171858,12288,12367,30260,2.446834317134309,1.446834317134309,10.1210170036742,0,0
EFRGP01_01,crop06,BA-TOS,265,6600,124,0.5022950819672131,12256,12355,24301,1.9668959935248889,0.9668959935248888,10.091989377422868,1,0
EFRGP01_01,crop03,BA-TOS,213,2167,17,0.5640011042606055,12258,12490,21502,1.7215372297838272,0.7215372297838271,10.087152026425091,1,0
