scan,crop_id,method,n_valid_gt,gt_label,best_pred_label,best_iou,intersection,gt_volume,pred_volume,volume_ratio,relative_volume_error,centroid_error,recovered_iou050,recovered_iou075
EFRGP01_00,crop06,BA-TOS,271,10527,167,0.1941428701760788,6384,12328,26939,2.185188189487346,1.185188189487346,16.228457039100892,0,0
EFRGP01_01,crop05,BA-TOS,128,13400,21,0.2758320303774849,12349,12431,44688,3.59488375834607,2.59488375834607,11.555874051931344,0,0
EFRGP01_00,crop06,BA-TOS,271,10996,331,0.2831759875669782,12208,12236,43083,3.521003595946388,2.521003595946388,7.023940862977745,0,0
EFRGP01_01,crop06,BA-TOS,265,10527,113,0.2883839086859688,8287,12292,24731,2.0119589977220955,1.0119589977220955,11.31849483792064,0,0
EFRGP01_00,crop05,BA-TOS,129,13398,19,0.2940072236479422,12373,12492,41965,3.3593499839897536,2.3593499839897536,8.087150304739627,0,0
EFRGP01_00,crop07,BA-TOS,263,8938,352,0.3123479863795796,12200,12269,38990,3.17792811150053,2.17792811150053,11.014364548536363,0,0
EFRGP01_00,crop05,BA-TOS,129,13400,16,0.3259265137687485,12321,12407,37717,3.039977432094785,2.039977432094785,10.27516238914186,0,0
EFRGP01_01,crop06,BA-TOS,265,10996,346,0.3290213416298237,12056,12109,36589,3.0216367990750683,2.0216367990750683,5.433598167047911,0,0
EFRGP01_01,crop03,BA-TOS,213,12173,270,0.3387105609114811,12367,12512,36367,2.906569693094629,1.9065696930946288,8.363396243847362,0,0
EFRGP01_00,crop05,BA-TOS,129,20620,171,0.3656758945442548,12192,12430,33103,2.6631536604987933,1.663153660498793,8.642317885062864,0,0
EFRGP01_01,crop07,BA-TOS,260,8886,345,0.3704479878511769,12197,12378,32744,2.64533850379706,1.6453385037970594,21.567548877756785,0,0
EFRGP01_01,crop03,BA-TOS,213,5280,16,0.379452097781404,12092,12313,31646,2.570129131811906,1.5701291318119062,7.93193131102361,0,0
EFRGP01_01,crop07,BA-TOS,260,8185,38,0.381638357342507,12425,12525,32457,2.591377245508982,1.591377245508982,6.107601197333582,0,0
EFRGP01_01,crop02,BA-TOS,262,10022,362,0.3857187993680884,12208,12371,31487,2.545226739956349,1.5452267399563495,11.084184906961008,0,0
EFRGP01_01,crop05,BA-TOS,128,20333,125,0.3921251697161699,12130,12278,30786,2.507411630558723,1.5074116305587228,9.366378833875595,0,0
EFRGP01_00,crop05,BA-TOS,129,20333,119,0.3940592149676921,12258,12400,30965,2.4971774193548386,1.4971774193548386,9.417407695322655,0,0
EFRGP01_00,crop04,BA-TOS,272,14620,358,0.4050232374171858,12288,12367,30260,2.446834317134309,1.446834317134309,10.1210170036742,0,0
EFRGP01_01,crop02,BA-TOS,262,12135,359,0.4073952449756994,12406,12607,30251,2.3995399381296107,1.3995399381296103,15.215065124084813,0,0
EFRGP01_00,crop06,BA-TOS,271,6415,36,0.4129853424054703,12200,12363,29378,2.376284073444957,1.3762840734449566,2.9360796319865274,0,0
EFRGP01_00,crop05,BA-TOS,129,22220,91,0.4137361340571159,12271,12374,29556,2.3885566510425087,1.3885566510425085,9.733091023774266,0,0
EFRGP01_01,crop07,BA-TOS,260,8938,360,0.4162905141693535,12266,12339,29392,2.382040684010049,1.3820406840100494,9.579037409772004,0,0
EFRGP01_01,crop05,BA-TOS,128,22220,97,0.417908909802844,12167,12293,28988,2.35808996990157,1.35808996990157,9.665512926484364,0,0
EFRGP01_00,crop05,BA-TOS,129,20635,175,0.4192955589586524,12321,12394,29312,2.3650153299983865,1.3650153299983865,7.990794599223542,0,0
EFRGP01_00,crop03,BA-TOS,216,5352,42,0.4193780889621087,12219,12307,29048,2.3602827659055823,1.3602827659055825,9.998317993672035,0,0
EFRGP01_01,crop04,BA-TOS,264,7278,39,0.4200612036722203,12354,12474,29290,2.3480840147506816,1.3480840147506814,10.738579641633349,0,0
EFRGP01_01,crop06,BA-TOS,265,11706,56,0.4202545541871076,12250,12315,29084,2.3616727568006497,1.3616727568006497,8.836717748142306,0,0
EFRGP01_00,crop03,BA-TOS,216,5360,43,0.4212032408205481,12217,12269,28953,2.359850028527182,1.3598500285271824,7.876342963447475,0,0
EFRGP01_00,crop02,BA-TOS,265,13832,202,0.4224863965618826,12190,12281,28762,2.34199169448742,1.3419916944874195,8.80179677342575,0,0
EFRGP01_00,crop05,BA-TOS,129,20575,161,0.4227467065243839,12162,12394,28537,2.302485073422624,1.302485073422624,8.95378048085121,0,0
EFRGP01_00,crop05,BA-TOS,129,13490,31,0.4239069702472412,12139,12263,28512,2.325042811710022,1.325042811710022,9.202286498259996,0,0
EFRGP01_01,crop03,BA-TOS,213,5360,48,0.4289420377412132,12070,12179,28030,2.301502586419246,1.3015025864192462,8.040457575545712,0,0
EFRGP01_00,crop05,BA-TOS,129,20557,159,0.4298916064480267,12374,12491,28667,2.295012408934433,1.2950124089344328,9.253921619494022,0,0
EFRGP01_00,crop04,BA-TOS,272,7482,125,0.4327538883806038,12298,12338,28378,2.300048630248014,1.3000486302480143,11.671306505101503,0,0
EFRGP01_00,crop07,BA-TOS,263,8185,26,0.4340962627008403,12347,12409,28381,2.2871303086469497,1.28713030864695,5.84223152382252,0,0
EFRGP01_00,crop06,BA-TOS,271,7129,343,0.4359421734795613,12243,12299,28028,2.2788844621513946,1.2788844621513944,9.509971189797817,0,0
EFRGP01_01,crop02,BA-TOS,262,5387,77,0.4363467646953852,12226,12399,27846,2.245826276312606,1.2458262763126058,10.901894922719396,0,0
EFRGP01_01,crop03,BA-TOS,213,2209,28,0.4363973664108254,11997,12070,27418,2.2715824357912178,1.271582435791218,6.250221381975209,0,0
EFRGP01_00,crop02,BA-TOS,265,5398,71,0.4430231708208464,12122,12210,27274,2.2337428337428338,1.2337428337428338,14.7852124014206,0,0
EFRGP01_01,crop06,BA-TOS,265,10963,331,0.4431661464760107,12211,12400,27365,2.2068548387096776,1.2068548387096774,9.23391900702864,0,0
EFRGP01_01,crop03,BA-TOS,213,2326,70,0.4455627387599177,12130,12179,27175,2.231299778306922,1.2312997783069215,6.941404296104581,0,0
EFRGP01_01,crop07,BA-TOS,260,8181,34,0.4458603364159324,12246,12334,27378,2.2197178530890223,1.2197178530890225,10.32536140385992,0,0
EFRGP01_01,crop05,BA-TOS,128,20557,164,0.4470261581177846,12236,12391,27217,2.1965135985796143,1.1965135985796145,8.266533707136126,0,0
EFRGP01_00,crop02,BA-TOS,265,13888,218,0.450064043915828,12298,12397,27226,2.19617649431314,1.1961764943131403,8.447905278622223,0,0
EFRGP01_01,crop05,BA-TOS,128,20575,166,0.4513422818791946,12105,12286,26639,2.168240273482012,1.168240273482012,7.85349119889558,0,0
