threshold,gt_id,pred_id,iou
0.25,3676,21,0.8760661952321936
0.25,3689,17,0.8913964358749635
0.25,3702,34,0.6985102312909397
0.25,3712,37,0.7522221541102189
0.25,3713,30,0.95595690747782
0.25,3725,48,0.957621166003278
0.25,3733,41,0.9556217657205582
0.25,3740,51,0.5451634422948632
0.25,3756,58,0.9593996840442338
0.25,3761,59,0.9522826518459706
0.25,3765,62,0.9472605439495467
0.25,3778,57,0.9549712666299299
0.25,3780,60,0.9434962200919648
0.25,3786,70,0.9526952695269527
0.25,3787,72,0.9552088185064431
0.25,3788,67,0.9451610411678381
0.25,3808,75,0.9432861366111717
0.25,3817,77,0.9587985532316402
0.25,3819,79,0.9617054875641532
0.25,3828,82,0.9486266924564797
0.25,3836,89,0.9479683622828784
0.25,3844,88,0.7061572613623087
0.25,3858,94,0.9577765477978968
0.25,3859,105,0.9554807918003286
0.25,3869,98,0.5128183750885823
0.25,3870,99,0.9557980686189841
0.25,3872,112,0.7397335280160613
0.25,3874,102,0.9506792219820932
0.25,3884,115,0.7038454846006612
0.25,3888,116,0.9474925326206571
0.25,3894,118,0.9513453448686404
0.25,3902,121,0.9493890421757982
0.25,3905,114,0.6399034424853065
0.25,3914,123,0.953009586672953
0.25,3927,128,0.9557458957887224
0.25,3935,127,0.9515318146111548
0.25,3944,144,0.9513190954773869
0.25,3959,149,0.9585455685291121
0.25,3965,151,0.9435281599148743
0.25,3980,146,0.9555538197156694
0.25,3982,161,0.9586250294973649
0.25,3989,150,0.9594003241491086
0.25,3992,159,0.9528750877740501
0.25,3993,155,0.9496431092634716
0.25,4016,164,0.9623131392604248
0.25,4146,32,0.49195027511717954
0.25,4178,166,0.9431580577712383
0.25,5284,15,0.6241247940691927
0.25,5302,28,0.7855295486874434
0.25,5307,29,0.626150170301459
0.25,5318,35,0.6586748744532642
0.25,5326,47,0.5894793135300695
0.25,5332,45,0.7420091324200914
0.25,5333,42,0.7028671737858396
0.25,5337,36,0.8804387040912043
0.25,5341,46,0.537759336099585
0.25,5354,52,0.9627507163323782
0.25,5355,54,0.9623204333150169
0.25,5378,65,0.9546813532651456
0.25,5386,61,0.9505655303329906
0.25,5387,63,0.6127934153033229
0.25,5411,71,0.9490147012824522
0.25,5413,76,0.9564670752789565
0.25,5424,80,0.9608030592734226
0.25,5429,83,0.7676913425345044
0.25,5434,86,0.9545166903970891
0.25,5444,91,0.9582611434871633
0.25,5464,100,0.9555573097568677
0.25,5466,96,0.9502845399936769
0.25,5471,97,0.8043027475375842
0.25,5476,101,0.8648821812486652
0.25,5480,110,0.9604140328697851
0.25,5487,108,0.9667993630573248
0.25,5488,103,0.9523063669825358
0.25,5490,113,0.9496323238712738
0.25,5493,111,0.6457586299170458
0.25,5523,117,0.9547828798627894
0.25,5542,126,0.9576962687158361
0.25,5544,125,0.949347420758235
0.25,5546,133,0.9612031728579282
0.25,5554,129,0.9508029768899334
0.25,5560,134,0.9553944361257782
0.25,5566,143,0.958307501549907
0.25,5575,141,0.956173084557364
0.25,5580,145,0.9565629442426157
0.25,5582,136,0.9510741728085307
0.25,5583,148,0.9693443543856833
0.25,5590,152,0.9505546751188589
0.25,5598,147,0.9571261226083561
0.25,5604,158,0.7679817328428263
0.25,5611,160,0.8941298240425847
0.25,5622,157,0.8991815476190477
0.25,5872,27,0.9368868288914639
0.25,5878,39,0.9535745251044376
0.25,5879,38,0.6162499360842665
0.25,5881,53,0.9532761739951231
0.25,5882,43,0.6488214575995666
0.25,5894,73,0.9541835778957227
0.25,5897,69,0.9623301279504093
0.25,5907,81,0.9590629436819688
0.25,5909,90,0.9564289103273762
0.25,5910,95,0.9551068883610452
0.25,5917,106,0.9617628508356986
0.25,5925,119,0.6452185131430415
0.25,5931,122,0.9496278887583235
0.25,5932,124,0.955944055944056
0.25,5938,137,0.9558163345672206
0.25,5942,142,0.9526613095711671
0.25,5944,154,0.9572608833809978
0.25,5946,156,0.9552803848883982
0.25,5949,168,0.9618706715430706
0.25,5951,169,0.9536119260962652
0.25,9763,227,0.9524601854052769
0.25,9769,232,0.9714033255683188
0.25,9771,233,0.8293526937169222
0.25,9776,228,0.9535972079003728
0.25,9777,231,0.9615987460815048
0.25,9783,237,0.8618664802516602
0.25,9804,249,0.884851106784916
0.25,9817,259,0.9631500039453957
0.25,9818,256,0.9549965381952458
0.25,9822,258,0.6919517907122865
0.25,9842,263,0.9599682917162109
0.25,9843,264,0.6008708991043594
0.25,9844,265,0.9605200945626478
0.25,9852,268,0.9565525383707202
0.25,9855,275,0.961553674551064
0.25,9857,276,0.9487771112136595
0.25,9873,271,0.9598635678591259
0.25,9876,277,0.9519805092738133
0.25,9882,281,0.96888711607499
0.25,9889,280,0.9638620907796932
0.25,9902,292,0.7697134888438134
0.25,9903,295,0.8138959475725558
0.25,9917,301,0.9589877835951134
0.25,9925,314,0.9488667555485845
0.25,9931,308,0.9604992889872017
0.25,9938,309,0.9590652446675031
0.25,9940,318,0.9602169981916817
0.25,9948,310,0.7864465794055064
0.25,9959,315,0.9649164868536722
0.25,9962,320,0.8247883192212814
0.25,9967,323,0.9530646051905025
0.25,9976,319,0.9590163934426229
0.25,9978,322,0.9576740506329114
0.25,9985,327,0.9592367736339983
0.25,10004,341,0.9646353015472056
0.25,10016,334,0.9573001663629882
0.25,10017,342,0.633341935483871
0.25,10022,351,0.571286660359508
